# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 3.438121108113222363e+03 9.108393824499999569e-01 1.127340779900000054e-04 8.829239122399999695e-02 1.488555365999999989e-11 1.000000000000000038e-25 2.674496384899999733e-04 4.314204091599999740e-12 1.000000000000000038e-25 1.000000000000000038e-25 3.470710678800000129e-12 1.000000000000000038e-25 2.470016017099999970e-10 1.101005696900000010e-12 6.596043971100000231e-12 4.307326190499999859e-14 2.984600276600000133e-12 2.301576577900000126e-05 1.033918340400000020e-11 1.000000000000000038e-25 8.978348841399999989e-06 1.000000000000000038e-25 2.124645589099999912e-06 3.623153173799999833e-05
4.496472020903842217e-05 3.419129715331946500e+03 9.108021596399999975e-01 1.551741472600000132e-04 8.829701162299999351e-02 2.778790433199999941e-11 1.000000000000000038e-25 2.734458232200000162e-04 6.003763785299999688e-12 1.000000000000000038e-25 1.000000000000000038e-25 4.478251223399999776e-12 1.000000000000000038e-25 3.169319283400000145e-10 1.391319862600000092e-12 9.275785630500000127e-12 5.989287360300000434e-14 4.763194193499999826e-12 2.101887978399999998e-05 1.222105122099999953e-11 1.000000000000000038e-25 1.097583610599999949e-05 1.000000000000000038e-25 2.124756773000000181e-06 3.623342559900000215e-05
5.660722890537316039e-05 3.389816191500405694e+03 9.107358752799999957e-01 2.247744592900000071e-04 8.830408114899999938e-02 5.794537938599999972e-11 1.000000000000000038e-25 2.784854338300000011e-04 8.852420903100000378e-12 1.000000000000000038e-25 1.837574012400000113e-14 5.647017535799999747e-12 1.000000000000000038e-25 4.164409859100000085e-10 1.784980507999999968e-12 1.413242006899999950e-11 8.965970399499999402e-14 7.829183865100000499e-12 1.846446546900000168e-05 1.411986841799999981e-11 1.000000000000000038e-25 1.353190079100000000e-05 1.000000000000000038e-25 2.124926891900000043e-06 3.623632362999999935e-05
7.126427896022353330e-05 3.372084196235387026e+03 9.106512924799999853e-01 3.083194895600000016e-04 8.831208086599999507e-02 1.088582095200000024e-10 1.000000000000000038e-25 2.809801562100000235e-04 1.227581287499999921e-11 1.000000000000000038e-25 3.361113486100000016e-14 6.839437708799999793e-12 1.000000000000000038e-25 5.191063595399999987e-10 2.192699155399999880e-12 2.004033337599999878e-11 1.257845414699999995e-13 1.172639581799999922e-11 1.645184964000000026e-05 1.626360827000000038e-11 1.000000000000000038e-25 1.554693932200000030e-05 1.000000000000000038e-25 2.125119394600000062e-06 3.623960271000000100e-05
8.971641173621374690e-05 3.355971016261579280e+03 9.105352448700000378e-01 4.199497922500000061e-04 8.832247616299999937e-02 2.022043930499999982e-10 1.000000000000000038e-25 2.826105073900000032e-04 1.689280802200000076e-11 1.000000000000000038e-25 6.076870513199999653e-14 8.112212033499999510e-12 1.000000000000000038e-25 6.384902779299999981e-10 2.661078026899999816e-12 2.821428545099999909e-11 1.753663333500000005e-13 1.707473578899999954e-11 1.458925480599999998e-05 1.860489839599999963e-11 1.000000000000000038e-25 1.741293512900000045e-05 1.000000000000000038e-25 2.125369543700000060e-06 3.624386379799999803e-05
1.129462705897078389e-04 3.340714953877672997e+03 9.103770514500000299e-01 5.697041447299999901e-04 8.833617812499999777e-02 3.732617673500000255e-10 1.000000000000000038e-25 2.837097926299999824e-04 2.314783815099999975e-11 1.000000000000000038e-25 1.091258146900000052e-13 9.458272680900000797e-12 1.000000000000000038e-25 7.781710262000000427e-10 3.201954633900000068e-12 3.957956196899999752e-11 2.437314290299999904e-13 2.433486970700000131e-11 1.287996988699999922e-05 2.115274644400000007e-11 1.000000000000000038e-25 1.912687232300000028e-05 1.000000000000000038e-25 2.125699263400000096e-06 3.624948047500000124e-05
1.421909302127632546e-04 3.327017592356563455e+03 9.101654845800000171e-01 7.679097684299999657e-04 8.835410079399999561e-02 6.806758295699999866e-10 1.000000000000000038e-25 2.844547274600000186e-04 3.148780395799999959e-11 1.000000000000000038e-25 1.939547217600000047e-13 1.090013775599999936e-11 1.000000000000000038e-25 9.403507436399999647e-10 3.824798702600000399e-12 5.504202430499999683e-11 3.361382750600000116e-13 3.401551567099999969e-11 1.136416887999999932e-05 2.400128477200000052e-11 1.000000000000000038e-25 2.064888146600000010e-05 1.000000000000000038e-25 2.126130548600000152e-06 3.625682745399999888e-05
1.790077753714985496e-04 3.313010207499935404e+03 9.098768757899999837e-01 1.036546274299999983e-03 8.837821157099999547e-02 1.245948168300000056e-09 1.000000000000000038e-25 2.850050857299999893e-04 4.290757229699999809e-11 1.000000000000000038e-25 3.455366963199999989e-13 1.241157859900000075e-11 1.000000000000000038e-25 1.133662750199999905e-09 4.556468496100000339e-12 7.678996407600000321e-11 4.649772907499999505e-13 4.701833052500000116e-11 9.982199472799999432e-06 2.711138331500000056e-11 1.000000000000000038e-25 2.203929502100000052e-05 1.000000000000000038e-25 2.126710742199999839e-06 3.626671154299999792e-05
2.253574373239214108e-04 3.299253890950682489e+03 9.094864409399999738e-01 1.398365666099999965e-03 8.841051948900000013e-02 2.278719235899999979e-09 1.000000000000000038e-25 2.854281618400000115e-04 5.842522561999999505e-11 1.000000000000000038e-25 6.152081909900000353e-13 1.400990385399999958e-11 1.000000000000000038e-25 1.364006345100000016e-09 5.418090954800000385e-12 1.070688162800000039e-10 6.429532867000000065e-13 6.431022783399999675e-11 8.754887158099999890e-06 3.057695682700000275e-11 1.000000000000000038e-25 2.327800157199999992e-05 1.000000000000000038e-25 2.127488188700000196e-06 3.627995652000000229e-05
2.837082045838957515e-04 3.285555074400758713e+03 9.089592849600000024e-01 1.885475107100000047e-03 8.845386738200000654e-02 4.163327708799999850e-09 1.000000000000000038e-25 2.857837248599999968e-04 7.949923581699999787e-11 1.000000000000000038e-25 1.094529890300000030e-12 1.569314832600000024e-11 1.000000000000000038e-25 1.640266555999999964e-09 6.439090139900000186e-12 1.492237652200000043e-10 8.887839653799999902e-13 8.715345488500000208e-11 7.675201596300000519e-06 3.445102134700000123e-11 1.000000000000000038e-25 2.437304457600000102e-05 1.000000000000000038e-25 2.128531296600000081e-06 3.629772817100000042e-05
