# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 8.924425609269621873e+02 1.393082021600000047e-08 8.368274061199999503e-01 1.622510385600000049e-01 2.638438731699999963e-04 1.459047698499999914e-09 5.246404905799999544e-04 3.958206017799999937e-07 2.925913165799999992e-10 1.976396632000000065e-05 1.242169385800000051e-12 1.000000000000000038e-25 3.729768408600000044e-06 1.546386429400000121e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.229566991999999990e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.209114550099999819e-06 1.000000000000000038e-25
4.496472020903842217e-05 8.981574381016637290e+02 1.501881226399999967e-08 8.368273959199999945e-01 1.622510391800000007e-01 2.637971949500000132e-04 1.907986879200000028e-09 5.246520888599999965e-04 3.837750961800000182e-07 3.514603212899999762e-10 1.981853944999999897e-05 1.558214828499999929e-12 1.000000000000000038e-25 3.729763546699999846e-06 1.554695769600000099e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.239929887100000185e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.204031710700000085e-06 1.000000000000000038e-25
5.660722890537316039e-05 9.094206461956730436e+02 1.933010118500000029e-08 8.368273547200000273e-01 1.622510369000000063e-01 2.637242072200000139e-04 2.087552322800000054e-09 5.246740669700000054e-04 3.616096517300000176e-07 4.042786231199999820e-10 1.992375404200000136e-05 1.948933291200000020e-12 1.000000000000000038e-25 3.729761297800000127e-06 1.574950083700000033e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.232413319599999609e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.213530357400000008e-06 1.000000000000000038e-25
7.126427896022353330e-05 9.187876093613563171e+02 2.323528710100000161e-08 8.368273292100000260e-01 1.622510363599999894e-01 2.636605205299999964e-04 2.445939874999999891e-09 5.246907465300000009e-04 3.445694398000000111e-07 4.727742391800000175e-10 2.000893543999999894e-05 2.439904274199999801e-12 1.000000000000000038e-25 3.729757818999999832e-06 1.590791741700000027e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.231691081700000278e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.217398679100000151e-06 1.000000000000000038e-25
8.971641173621374690e-05 9.268328968228640861e+02 2.663857946399999907e-08 8.368273142200000070e-01 1.622510370299999893e-01 2.636036761800000165e-04 3.006829580800000117e-09 5.247038808799999723e-04 3.308757571700000118e-07 5.594277433599999594e-10 2.008037576899999972e-05 3.057748083499999802e-12 1.000000000000000038e-25 3.729753310499999836e-06 1.603516302699999973e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.235838277100000030e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.217546908200000165e-06 1.000000000000000038e-25
1.129462705897078389e-04 9.344370560418126388e+02 3.002134591599999978e-08 8.368272935899999654e-01 1.622510363499999886e-01 2.635494010100000208e-04 3.757590165999999589e-09 5.247153571400000075e-04 3.186457600599999854e-07 6.644169758699999627e-10 2.014664599200000119e-05 3.831053654900000253e-12 1.000000000000000038e-25 3.729748176599999921e-06 1.615117548599999943e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.241487900400000157e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.216409135200000174e-06 1.000000000000000038e-25
1.421909302127632546e-04 9.412294747402946768e+02 3.287033479699999794e-08 8.368272821600000189e-01 1.622510370699999926e-01 2.634994883500000251e-04 4.841307939100000227e-09 5.247246283999999631e-04 3.082921339699999741e-07 7.953681927100000411e-10 2.020469594500000156e-05 4.806804019600000148e-12 1.000000000000000038e-25 3.729742103399999871e-06 1.624732194900000123e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.249610159399999877e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.212914835599999922e-06 1.000000000000000038e-25
1.790077753714985496e-04 9.478967293831701681e+02 3.576761583199999784e-08 8.368272715800000316e-01 1.622510379800000124e-01 2.634507010800000233e-04 6.271037696500000283e-09 5.247328883799999653e-04 2.986041555899999769e-07 9.530702862200000268e-10 2.026076273800000020e-05 6.028158322999999938e-12 1.000000000000000038e-25 3.729735481599999928e-06 1.633908454700000046e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.257699111099999573e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.208900293900000034e-06 1.000000000000000038e-25
2.253574373239214108e-04 9.543441156495457562e+02 3.854591856600000193e-08 8.368272614699999723e-01 1.622510390499999899e-01 2.634035780300000027e-04 8.206611514200000007e-09 5.247398816499999463e-04 2.896772127999999955e-07 1.145079144800000090e-09 2.031401838199999895e-05 7.563602760599999436e-12 1.000000000000000038e-25 3.729728131499999873e-06 1.642389933900000088e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.266013728699999986e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.203986234500000143e-06 1.000000000000000038e-25
2.837082045838957515e-04 9.608968532154092372e+02 4.158905541599999958e-08 8.368272499500000183e-01 1.622510401499999977e-01 2.633566537799999900e-04 1.071927624999999945e-08 5.247460560900000289e-04 2.809917340900000237e-07 1.374790762800000004e-09 2.036740518199999870e-05 9.485468741599999516e-12 1.000000000000000038e-25 3.729720278400000005e-06 1.650945120599999894e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.273588060599999910e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.199105334600000102e-06 1.000000000000000038e-25
