# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 3.744257265656559866e+03 9.108011396599999809e-01 3.008502980300000059e-05 8.827267364099999902e-02 1.396504332999999978e-12 1.000000000000000038e-25 1.393418248699999885e-04 7.509910932399999750e-13 1.000000000000000038e-25 1.000000000000000038e-25 7.828285066700000004e-13 1.000000000000000038e-25 6.443198709899999430e-11 3.602980782699999962e-13 1.353135325599999936e-12 1.048728848899999923e-14 2.857777328100000040e-13 3.062586882500000087e-05 9.026835762700000310e-12 1.000000000000000038e-25 1.476561482000000011e-06 1.000000000000000038e-25 2.124171110599999969e-06 3.622344303999999976e-05
4.496472020903842217e-05 3.721694390651799949e+03 9.108136576799999995e-01 4.142885843900000295e-05 8.827608178199999878e-02 2.487049696899999915e-12 1.000000000000000038e-25 1.657132073599999972e-04 1.158878574600000004e-12 1.000000000000000038e-25 1.000000000000000038e-25 1.300779786299999953e-12 1.000000000000000038e-25 8.868830587600000139e-11 4.883079359000000379e-13 1.815805814100000071e-12 1.390605089900000073e-14 5.294590669700000316e-13 2.996407306900000127e-05 1.144620655100000076e-11 1.000000000000000038e-25 2.094608197700000109e-06 1.000000000000000038e-25 2.124253123099999895e-06 3.622484020099999878e-05
5.660722890537316039e-05 3.691549632808960268e+03 9.108221904500000132e-01 5.893351652300000325e-05 8.828029937200000676e-02 4.679923474199999724e-12 1.000000000000000038e-25 1.945722354000000093e-04 1.808109000400000073e-12 1.000000000000000038e-25 1.000000000000000038e-25 2.182694676900000076e-12 1.000000000000000038e-25 1.255124389399999960e-10 6.766805394000000485e-13 2.525270736999999838e-12 1.902968085699999931e-14 1.027310817900000087e-12 2.895853791899999897e-05 1.449042678199999962e-11 1.000000000000000038e-25 3.070079960799999947e-06 1.000000000000000038e-25 2.124354614100000123e-06 3.622656902399999917e-05
7.126427896022353330e-05 3.679483749535200786e+03 9.108183266699999558e-01 7.794367892399999562e-05 8.828360934499999979e-02 7.792442068800000046e-12 1.000000000000000038e-25 2.117518936499999873e-04 2.481932279300000074e-12 1.000000000000000038e-25 1.000000000000000038e-25 3.189936220500000020e-12 1.000000000000000038e-25 1.627306583300000041e-10 8.699095479300000241e-13 3.244376375299999872e-12 2.428993564099999994e-14 1.702284806400000036e-12 2.805730796099999941e-05 1.795727892700000053e-11 1.000000000000000038e-25 3.960225413200000119e-06 1.000000000000000038e-25 2.124434264300000152e-06 3.622792505999999988e-05
8.971641173621374690e-05 3.667940945041508257e+03 9.108061915899999805e-01 1.029004260699999948e-04 8.828727096100000282e-02 1.298547006200000046e-11 1.000000000000000038e-25 2.266808313699999881e-04 3.359682669200000192e-12 1.000000000000000038e-25 1.000000000000000038e-25 4.545530171699999720e-12 1.000000000000000038e-25 2.090368420100000018e-10 1.108377948500000044e-12 4.175681151100000058e-12 3.106809448400000078e-14 2.767970981399999924e-12 2.699440022899999929e-05 2.208792886399999927e-11 1.000000000000000038e-25 5.016024166800000295e-06 1.000000000000000038e-25 2.124522376399999885e-06 3.622942477499999970e-05
1.129462705897078389e-04 3.655349067816310708e+03 9.107834522700000157e-01 1.364215842699999898e-04 8.829156549199999870e-02 2.191629046299999915e-11 1.000000000000000038e-25 2.398275567499999906e-04 4.533985276500000203e-12 1.000000000000000038e-25 1.004200461800000039e-14 6.352967297599999871e-12 1.000000000000000038e-25 2.674197771400000210e-10 1.405287270799999936e-12 5.430825512699999618e-12 4.013094057399999925e-14 4.453987663199999928e-12 2.572741319799999848e-05 2.693887325400000003e-11 1.000000000000000038e-25 6.278434401800000234e-06 1.000000000000000038e-25 2.124625718700000169e-06 3.623118339699999861e-05
1.421909302127632546e-04 3.643466956361716711e+03 9.107472599799999458e-01 1.805439301499999871e-04 8.829661170199999687e-02 3.710260135700000041e-11 1.000000000000000038e-25 2.505515523000000121e-04 6.070567059199999673e-12 1.000000000000000038e-25 1.730295221499999887e-14 8.655337393099999277e-12 1.000000000000000038e-25 3.384392389200000057e-10 1.763444492600000012e-12 7.089612290300000141e-12 5.205010351999999686e-14 7.010819194799999914e-12 2.431467265700000056e-05 3.258105339799999960e-11 1.000000000000000038e-25 7.688766405600000846e-06 1.000000000000000038e-25 2.124747149099999861e-06 3.623324944599999896e-05
1.790077753714985496e-04 3.630953888728042330e+03 9.106935223700000082e-01 2.395001512300000066e-04 8.830283350900000605e-02 6.349785301700000451e-11 1.000000000000000038e-25 2.593539846699999783e-04 8.123112901800000514e-12 1.000000000000000038e-25 2.992666513899999821e-14 1.153196881199999992e-11 1.000000000000000038e-25 4.252750007099999965e-10 2.196054143099999906e-12 9.345420061299999243e-12 6.814330632400000283e-14 1.085535049099999995e-11 2.274601644000000161e-05 3.901741935899999930e-11 1.000000000000000038e-25 9.256584766799999357e-06 1.000000000000000038e-25 2.124896868800000010e-06 3.623579658100000231e-05
2.253574373239214108e-04 3.618522959995084420e+03 9.106172853999999761e-01 3.178201938800000160e-04 8.831062901000000243e-02 1.094445174900000060e-10 1.000000000000000038e-25 2.662640335899999736e-04 1.085353512099999955e-11 1.000000000000000038e-25 5.179890043999999996e-14 1.501277683300000092e-11 1.000000000000000038e-25 5.296053456000000472e-10 2.710306018299999927e-12 1.240256705900000057e-11 8.981891780299999554e-14 1.648116785200000126e-11 2.107951021699999963e-05 4.630238248899999700e-11 1.000000000000000038e-25 1.092367706099999981e-05 1.000000000000000038e-25 2.125084457200000191e-06 3.623898778600000273e-05
2.837082045838957515e-04 3.606053425345949108e+03 9.105119798299999845e-01 4.217404969700000211e-04 8.832057060600000120e-02 1.897296656699999925e-10 1.000000000000000038e-25 2.715704131099999879e-04 1.449104648300000027e-11 1.000000000000000038e-25 8.964466411800000092e-14 1.910676294799999981e-11 1.000000000000000038e-25 6.537516655600000494e-10 3.315438409799999833e-12 1.655876909499999937e-11 1.190967988000000007e-13 2.453597650700000041e-11 1.936115984599999878e-05 5.443897786900000052e-11 1.000000000000000038e-25 1.264397052899999970e-05 1.000000000000000038e-25 2.125323688600000195e-06 3.624305749399999712e-05
