# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 3.591271749805818217e+03 9.108494821400000552e-01 5.661798994600000128e-05 8.828249275400000540e-02 4.151062824200000328e-12 1.000000000000000038e-25 2.203646695499999900e-04 1.921014636699999987e-12 1.000000000000000038e-25 1.000000000000000038e-25 2.001881424299999985e-12 1.000000000000000038e-25 1.291607185100000006e-10 6.477775294199999985e-13 2.768566102599999873e-12 1.974620475500000040e-14 9.801931068599999226e-13 2.809942485700000055e-05 1.015515041200000026e-11 1.000000000000000038e-25 3.907534789299999752e-06 1.000000000000000038e-25 2.124407395100000051e-06 3.622747129699999954e-05
4.496472020903842217e-05 3.573465342290826811e+03 9.108438931400000271e-01 7.697041716400000256e-05 8.828589622999999387e-02 7.312105607800000474e-12 1.000000000000000038e-25 2.366336132600000016e-04 2.680827645599999993e-12 1.000000000000000038e-25 1.000000000000000038e-25 2.902206365799999825e-12 1.000000000000000038e-25 1.708570221499999937e-10 8.456544851800000150e-13 3.701830884100000004e-12 2.614046743200000123e-14 1.677314118100000024e-12 2.685408542300000027e-05 1.251925135999999965e-11 1.000000000000000038e-25 5.147496035800000139e-06 1.000000000000000038e-25 2.124489295399999845e-06 3.622886625100000103e-05
5.660722890537316039e-05 3.546290381882689417e+03 9.108260143299999889e-01 1.091705388000000046e-04 8.829040568300000613e-02 1.405435128899999927e-11 1.000000000000000038e-25 2.525250323299999770e-04 3.894854844000000273e-12 1.000000000000000038e-25 1.000000000000000038e-25 4.205939537099999896e-12 1.000000000000000038e-25 2.323610517099999891e-10 1.126840547200000076e-12 5.265950697800000265e-12 3.661860803800000174e-14 2.995619560099999937e-12 2.504388123200000058e-05 1.526757596600000024e-11 1.000000000000000038e-25 6.954121407600000326e-06 1.000000000000000038e-25 2.124597809500000107e-06 3.623071442100000332e-05
7.126427896022353330e-05 3.530875015915746189e+03 9.107956099599999744e-01 1.471323790999999950e-04 8.829481858200000088e-02 2.482698256800000060e-11 1.000000000000000038e-25 2.616787208399999924e-04 5.304256898599999728e-12 1.000000000000000038e-25 1.000000000000000038e-25 5.643404391400000354e-12 1.000000000000000038e-25 2.973237115600000247e-10 1.425130135099999961e-12 7.096907110100000326e-12 4.891979005099999763e-14 4.792865028399999801e-12 2.340165239600000045e-05 1.835097794100000095e-11 1.000000000000000038e-25 8.595548006600000008e-06 1.000000000000000038e-25 2.124704000200000008e-06 3.623252246699999686e-05
8.971641173621374690e-05 3.516855132793122266e+03 9.107500986200000037e-01 1.972120169300000129e-04 8.830011679200000518e-02 4.372163283400000313e-11 1.000000000000000038e-25 2.684107894000000252e-04 7.165906021999999929e-12 1.000000000000000038e-25 1.720727407700000153e-14 7.349352238600000430e-12 1.000000000000000038e-25 3.745943329299999790e-10 1.776385991200000057e-12 9.565194595600000734e-12 6.540741738299999722e-14 7.433165281099999423e-12 2.167707646799999844e-05 2.182962882199999876e-11 1.000000000000000038e-25 1.032043943499999949e-05 1.000000000000000038e-25 2.124831494699999961e-06 3.623469302400000234e-05
1.129462705897078389e-04 3.502616294362039298e+03 9.106845808200000336e-01 2.645745409300000162e-04 8.830682681300000558e-02 7.762026764099999409e-11 1.000000000000000038e-25 2.734674035900000184e-04 9.685863183599999630e-12 1.000000000000000038e-25 3.032370958699999977e-14 9.339482149300000157e-12 1.000000000000000038e-25 4.675413134799999820e-10 2.193015242199999807e-12 1.299250431999999925e-11 8.811982487300000261e-14 1.128668593600000078e-11 1.986703420299999851e-05 2.568924142700000127e-11 1.000000000000000038e-25 1.213174954799999999e-05 1.000000000000000038e-25 2.124992962600000099e-06 3.623744190100000335e-05
1.421909302127632546e-04 3.489661285957656219e+03 9.105945416199999753e-01 3.533703094000000184e-04 8.831531572100000116e-02 1.372775672199999940e-10 1.000000000000000038e-25 2.770615199200000063e-04 1.302452571200000041e-11 1.000000000000000038e-25 5.306207284700000053e-14 1.160064290699999997e-11 1.000000000000000038e-25 5.763127504999999672e-10 2.676246041700000034e-12 1.762090100999999922e-11 1.186220041900000102e-13 1.670321537999999999e-11 1.808396725100000073e-05 3.000058069299999920e-11 1.000000000000000038e-25 1.391705563600000056e-05 1.000000000000000038e-25 2.125197237000000034e-06 3.624091945999999791e-05
1.790077753714985496e-04 3.476401539693637460e+03 9.104707586800000474e-01 4.725132953199999886e-04 8.832641789299999768e-02 2.443187125300000242e-10 1.000000000000000038e-25 2.796967800300000236e-04 1.754251547200000057e-11 1.000000000000000038e-25 9.301900609599999867e-14 1.412515744200000036e-11 1.000000000000000038e-25 7.053440263899999957e-10 3.241799925700000116e-12 2.403867506400000065e-11 1.605903116000000073e-13 2.429166010999999925e-11 1.631722969800000018e-05 3.472680465499999790e-11 1.000000000000000038e-25 1.568715472999999939e-05 1.000000000000000038e-25 2.125464396100000115e-06 3.624546770599999665e-05
2.253574373239214108e-04 3.463317724846638157e+03 9.103026952299999586e-01 6.317432102000000238e-04 8.834100042900000505e-02 4.360009820600000158e-10 1.000000000000000038e-25 2.815903444099999964e-04 2.363030483300000050e-11 1.000000000000000038e-25 1.630623807900000098e-13 1.690228872399999997e-11 1.000000000000000038e-25 8.573387121699999774e-10 3.900221207999999748e-12 3.288186224400000129e-11 2.180099419600000011e-13 3.473874776000000321e-11 1.462377837400000018e-05 3.993198423399999858e-11 1.000000000000000038e-25 1.738534812799999947e-05 1.000000000000000038e-25 2.125815305399999850e-06 3.625144197400000329e-05
2.837082045838957515e-04 3.450403011043969400e+03 9.100764673600000298e-01 8.438944815999999865e-04 8.836020601499999794e-02 7.783926412300000049e-10 1.000000000000000038e-25 2.829505082099999821e-04 3.181027753100000206e-11 1.000000000000000038e-25 2.854257245799999856e-13 1.991049673900000012e-11 1.000000000000000038e-25 1.035760951200000057e-09 4.664196172699999740e-12 4.503080268099999725e-11 2.963327248699999823e-13 4.890314330899999876e-11 1.303693161800000062e-05 4.564589364999999836e-11 1.000000000000000038e-25 1.897868340399999960e-05 1.000000000000000038e-25 2.126277462199999789e-06 3.625931059500000239e-05
3.571674682851644746e-04 3.437703221442696304e+03 9.097727133899999874e-01 1.126815941400000033e-03 8.838561862799999835e-02 1.390537273899999916e-09 1.000000000000000038e-25 2.839401186800000134e-04 4.280929606900000051e-11 1.000000000000000038e-25 4.993998971000000066e-13 2.315576997299999923e-11 1.000000000000000038e-25 1.245762690900000048e-09 5.553728697600000138e-12 6.171866348899999901e-11 4.031783099500000202e-13 6.795132441800000328e-11 1.157481936899999997e-05 5.196621718399999716e-11 1.000000000000000038e-25 2.044956808400000053e-05 1.000000000000000038e-25 2.126888982399999843e-06 3.626972275200000058e-05
4.496472020903805218e-04 3.424979892952016598e+03 9.093653083099999535e-01 1.504566361399999920e-03 8.841937071399999515e-02 2.486641885000000029e-09 1.000000000000000038e-25 2.846840075900000265e-04 5.762287114299999888e-11 1.000000000000000038e-25 8.738643026899999678e-13 2.662402615999999988e-11 1.000000000000000038e-25 1.493927165100000052e-09 6.592964833400000308e-12 8.469795431399999375e-11 5.492520483100000124e-13 9.336697371499999393e-11 1.024246035999999997e-05 5.894714012199999369e-11 1.000000000000000038e-25 2.179372619099999921e-05 1.000000000000000038e-25 2.127701180399999894e-06 3.628355252099999938e-05
5.660722890537269554e-04 3.411878767136748138e+03 9.088146965800000254e-01 2.013550667300000215e-03 8.846468669599999446e-02 4.470791700400000297e-09 1.000000000000000038e-25 2.852772960099999992e-04 7.776973143400000544e-11 1.000000000000000038e-25 1.535606442499999963e-12 3.031436493100000153e-11 1.000000000000000038e-25 1.790943522700000016e-09 7.821310836199999638e-12 1.167019098800000029e-10 7.515866171500000491e-13 1.272934377599999960e-10 9.031601163299999739e-06 6.668817342099999945e-11 1.000000000000000038e-25 2.302055125899999893e-05 1.000000000000000038e-25 2.128791647000000144e-06 3.630212163899999866e-05
7.126427896022295054e-04 3.398205999790285205e+03 9.080689406299999877e-01 2.701512306100000045e-03 8.852578924199999699e-02 8.083537095000000382e-09 1.000000000000000038e-25 2.857878963499999947e-04 1.052718111499999958e-10 1.000000000000000038e-25 2.710715637699999884e-12 3.420427150899999898e-11 1.000000000000000038e-25 2.149312384799999794e-09 9.283662897600000585e-12 1.615124532199999872e-10 1.032059793800000028e-12 1.723708791099999950e-10 7.942197901899999469e-06 7.527682131099999751e-11 1.000000000000000038e-25 2.413159264299999916e-05 1.000000000000000038e-25 2.130261994000000158e-06 3.632716118699999916e-05
8.971641173621299880e-04 3.384183629042781376e+03 9.070595441300000061e-01 3.631387206599999938e-03 8.860824167500000459e-02 1.467445032499999961e-08 1.000000000000000038e-25 2.862710535999999782e-04 1.428029840199999906e-10 1.000000000000000038e-25 4.803238879500000055e-12 3.832076846500000196e-11 1.000000000000000038e-25 2.585093231999999812e-09 1.103996003999999968e-11 2.242134816100000066e-10 1.421443661399999978e-12 2.320299777300000014e-10 6.977551773500000354e-06 8.494017294600000420e-11 1.000000000000000038e-25 2.512553912100000018e-05 1.000000000000000038e-25 2.132246093200000057e-06 3.636095182700000035e-05
1.129462705897069227e-03 3.370353477143264627e+03 9.057105664500000319e-01 4.872928220800000140e-03 8.871820754100000206e-02 2.654094287000000137e-08 1.000000000000000038e-25 2.867732935799999780e-04 1.933434991300000008e-10 1.118543206399999932e-14 8.491285579200000806e-12 4.271882731499999680e-11 1.000000000000000038e-25 3.114416150600000108e-09 1.315197101399999948e-11 3.105956331900000246e-10 1.954241185199999912e-12 3.100425325199999940e-10 6.145409772599999960e-06 9.597855986800000109e-11 1.000000000000000038e-25 2.599685232499999982e-05 1.000000000000000038e-25 2.134892259000000069e-06 3.640602027699999898e-05
1.421909302127621162e-03 3.356676979982922603e+03 9.039016769200000079e-01 6.536723258999999758e-03 8.886546528500000042e-02 4.794905987900000083e-08 1.000000000000000038e-25 2.873493778800000260e-04 2.616309088100000062e-10 2.260016879899999969e-14 1.502203331800000048e-11 4.749277894700000223e-11 1.000000000000000038e-25 3.767999483199999873e-09 1.573591155899999873e-11 4.298876174000000024e-10 2.685539280500000099e-12 4.123510203900000172e-10 5.430216785600000361e-06 1.088387353900000029e-10 1.000000000000000038e-25 2.676458812400000090e-05 1.000000000000000038e-25 2.138435790000000163e-06 3.646637521099999865e-05
