# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 2.170417934133196923e+03 4.934147494900000264e-01 3.835085092100000148e-01 1.221933632699999939e-01 2.039346550000000011e-04 1.000000000000000038e-25 3.953721663300000205e-04 4.059326585900000082e-08 9.503413162100000822e-13 1.227431406600000035e-08 2.269204951499999946e-13 1.000000000000000038e-25 1.202113768999999970e-06 1.899079434799999812e-09 5.180229650800000099e-08 2.581767552200000073e-09 2.259871653300000071e-10 1.788055800600000072e-06 6.078190602399999840e-12 1.000000000000000038e-25 2.762726933600000032e-05 1.000000000000000038e-25 2.872677355799999913e-06 5.014296115499999981e-05
4.496472020903842217e-05 2.176896391111988123e+03 4.695058312000000011e-01 4.054633085100000089e-01 1.241335356199999990e-01 2.144531008400000073e-04 1.000000000000000038e-25 4.016502330700000181e-04 4.084502316700000029e-08 1.298802461199999927e-12 1.569812328099999942e-08 3.022005012099999925e-13 1.000000000000000038e-25 1.300035101199999940e-06 2.182605587999999881e-09 5.250957844799999688e-08 2.570223858100000122e-09 2.666249124799999826e-10 1.737355023699999978e-06 6.937064446500000184e-12 1.000000000000000038e-25 2.806589377099999962e-05 1.000000000000000038e-25 2.918280934799999911e-06 5.093910323200000315e-05
5.660722890537316039e-05 2.193022748570409021e+03 4.625329083199999913e-01 4.118664283799999826e-01 1.246992524999999963e-01 2.164533058900000118e-04 1.000000000000000038e-25 4.034813621299999996e-04 4.035240343499999943e-08 1.640995546699999934e-12 1.774796933700000021e-08 3.882015588899999783e-13 1.000000000000000038e-25 1.313584661700000052e-06 2.285530189399999874e-09 5.246667825599999767e-08 2.468085190600000194e-09 3.079880846299999799e-10 1.737557705500000044e-06 8.202570023099999524e-12 1.000000000000000038e-25 2.819374302399999931e-05 1.000000000000000038e-25 2.931574607800000088e-06 5.117122408600000179e-05
7.126427896022353330e-05 2.198928803580178737e+03 4.378791265699999991e-01 4.345053081099999881e-01 1.266997794699999957e-01 2.267999097900000045e-04 1.000000000000000038e-25 4.099547681100000011e-04 4.056981153300000305e-08 2.238006742500000051e-12 2.275510216399999836e-08 5.173747190600000138e-13 1.000000000000000038e-25 1.419456530400000078e-06 2.635427665600000118e-09 5.318179787299999709e-08 2.457779479999999923e-09 3.627987463100000129e-10 1.680317093099999959e-06 9.289360653400000178e-12 1.000000000000000038e-25 2.864600043199999971e-05 1.000000000000000038e-25 2.978594848499999845e-06 5.199212442399999947e-05
8.971641173621374690e-05 2.190824688738934128e+03 3.907759910699999950e-01 4.777589266799999734e-01 1.305218706000000062e-01 2.464412296999999815e-04 1.000000000000000038e-25 4.223219547900000171e-04 4.151373031699999965e-08 3.334419647200000132e-12 3.418189521200000275e-08 7.230792552300000318e-13 1.000000000000000038e-25 1.651757796300000026e-06 3.430616718900000081e-09 5.488852765000000182e-08 2.559762304699999882e-09 4.361099179899999791e-10 1.540797670799999906e-06 9.803200989199999376e-12 1.000000000000000038e-25 2.951011078499999937e-05 1.000000000000000038e-25 3.068430869700000082e-06 5.356051047700000138e-05
1.129462705897078389e-04 2.182929075471969554e+03 3.467737667499999898e-01 5.181653052700000428e-01 1.340921106300000110e-01 2.632751273000000117e-04 1.000000000000000038e-25 4.338743973500000170e-04 4.222144997899999772e-08 4.856449098400000310e-12 5.033525134099999730e-08 1.002274171000000042e-12 1.000000000000000038e-25 1.878326669400000032e-06 4.401031461300000298e-09 5.647800177999999881e-08 2.650704885000000107e-09 5.191790799200000505e-10 1.400671314299999916e-06 1.018754879999999945e-11 1.650261778000000112e-14 3.031726699900000134e-05 1.000000000000000038e-25 3.152343150500000069e-06 5.502554223700000007e-05
1.421909302127632546e-04 2.175387849473557253e+03 3.062822820900000242e-01 5.553480152699999950e-01 1.373773347599999972e-01 2.776548183699999758e-04 1.000000000000000038e-25 4.445046976600000002e-04 4.277105177200000205e-08 6.942130272000000280e-12 7.280451937800000476e-08 1.377928421099999988e-12 1.000000000000000038e-25 2.093626512799999948e-06 5.572925270499999587e-09 5.794122341799999696e-08 2.732998931100000043e-09 6.131756139099999679e-10 1.264635533100000044e-06 1.046579176100000064e-11 2.816667600699999857e-14 3.105996871500000259e-05 1.000000000000000038e-25 3.229551547099999926e-06 5.637360958700000197e-05
1.790077753714985496e-04 2.168395531008804028e+03 2.699097552099999908e-01 5.887484677000000000e-01 1.403282646700000080e-01 2.897865432299999845e-04 1.000000000000000038e-25 4.540533481100000250e-04 4.320736859800000243e-08 9.735787769699999347e-12 1.031861021500000003e-07 1.873713269300000153e-12 1.000000000000000038e-25 2.291549625400000210e-06 6.958117751400000358e-09 5.925829605999999773e-08 2.807008044400000082e-09 7.183025235400000277e-10 1.137579060100000052e-06 1.066510809600000063e-11 4.692509139700000179e-14 3.172707333300000128e-05 1.000000000000000038e-25 3.298897396499999906e-06 5.758449060500000122e-05
2.253574373239214108e-04 2.162550403034688316e+03 2.381468581400000006e-01 6.179160295700000249e-01 1.429051434299999923e-01 2.998368469199999987e-04 1.000000000000000038e-25 4.623916832100000065e-04 4.354399494000000204e-08 1.341259163099999944e-11 1.428705814399999976e-07 2.520718333400000167e-12 1.000000000000000038e-25 2.466806074200000199e-06 8.548292856000000623e-09 6.040376894699999566e-08 2.869261005300000112e-09 8.357878481200000367e-10 1.023826273100000031e-06 1.085455648900000050e-11 7.612784346200000209e-14 3.230958977600000167e-05 1.000000000000000038e-25 3.359446009299999910e-06 5.864186980200000043e-05
2.837082045838957515e-04 2.156927792098530063e+03 2.096874308299999934e-01 6.440500970600000485e-01 1.452139751100000042e-01 3.084774206500000022e-04 1.000000000000000038e-25 4.698626712700000162e-04 4.383722540599999736e-08 1.825371428700000065e-11 1.951373888900000040e-07 3.362685013500000000e-12 1.000000000000000038e-25 2.625745822300000120e-06 1.041507904100000082e-08 6.143808369600000521e-08 2.927876248800000058e-09 9.670137286499999054e-10 9.195507661000000460e-07 1.099004398200000075e-11 1.216807067699999898e-13 3.283148469600000191e-05 1.000000000000000038e-25 3.413688496899999837e-06 5.958924632799999810e-05
3.571674682851644746e-04 2.151385154856871850e+03 1.841340608099999998e-01 6.675155887599999449e-01 1.472870221099999988e-01 3.159733451600000198e-04 1.000000000000000038e-25 4.765706949799999805e-04 4.410399732999999773e-08 2.461673795200000035e-11 2.637275800700000230e-07 4.456831933999999718e-12 1.000000000000000038e-25 2.769662038999999972e-06 1.261714056699999994e-08 6.237728352300000113e-08 2.984617998800000153e-09 1.113880743599999909e-09 8.241904900200000372e-07 1.107631581599999929e-11 1.925106835899999905e-13 3.330005037399999795e-05 1.000000000000000038e-25 3.462382501300000043e-06 6.043985837700000143e-05
4.496472020903805218e-04 2.145586853565331694e+03 1.610763376400000113e-01 6.886893668700000415e-01 1.491575944799999887e-01 3.225472578900000047e-04 1.000000000000000038e-25 4.826235254699999815e-04 4.436282239000000304e-08 3.294929164100000008e-11 3.536845081299999919e-07 5.871387796199999745e-12 1.000000000000000038e-25 2.900316059299999923e-06 1.523837533900000025e-08 6.324122372500000255e-08 3.042650405799999952e-09 1.277553201299999930e-09 7.367157112300000455e-07 1.109652854300000037e-11 3.025975054499999925e-13 3.372281667699999949e-05 1.000000000000000038e-25 3.506310133500000175e-06 6.120737460499999958e-05
5.660722890537269554e-04 2.139349141698675794e+03 1.402192746700000048e-01 7.078423058199999618e-01 1.508496337599999904e-01 3.283512462999999817e-04 1.000000000000000038e-25 4.880986257500000082e-04 4.462413353800000001e-08 4.386786901400000318e-11 4.717732617099999760e-07 7.699716128099999918e-12 1.000000000000000038e-25 3.018861899399999849e-06 1.838736556600000010e-08 6.404269533299999693e-08 3.103864382000000032e-09 1.460062026699999929e-09 6.564499665699999834e-07 1.104742615000000052e-11 4.743963895600000284e-13 3.410519396499999919e-05 1.000000000000000038e-25 3.546032933699999828e-06 6.190161873400000503e-05
7.126427896022295054e-04 2.132755818522106892e+03 1.215809915600000041e-01 7.249577589100000274e-01 1.523616779199999938e-01 3.334289500100000086e-04 1.000000000000000038e-25 4.929912648100000152e-04 4.488754894100000261e-08 5.807499322300000224e-11 6.249298624499999651e-07 1.004691250099999985e-11 1.000000000000000038e-25 3.124694221600000045e-06 2.215059212599999888e-08 6.477882899200000112e-08 3.167804990300000064e-09 1.662615725400000013e-09 5.838762436199999946e-07 1.094536920700000037e-11 7.409115421799999922e-13 3.444684938499999931e-05 1.000000000000000038e-25 3.581515593499999797e-06 6.252199029199999357e-05
8.971641173621299880e-04 2.125886446358422745e+03 1.050395298899999968e-01 7.401477143000000369e-01 1.537036270799999882e-01 3.378526627100000260e-04 1.123264562600000032e-14 4.973334785899999637e-04 4.515305176000000134e-08 7.652631166399999454e-11 8.217953223800000347e-07 1.305551185400000011e-11 1.000000000000000038e-25 3.218138584999999833e-06 2.663797593900000148e-08 6.545155735100000153e-08 3.234167487099999894e-09 1.887560247899999895e-09 5.188013925600000377e-07 1.080696229000000066e-11 1.153741269299999997e-12 3.475001769399999681e-05 1.000000000000000038e-25 3.612989517200000099e-06 6.307255073599999902e-05
1.129462705897069227e-03 2.118935580979812130e+03 9.057185285900000438e-02 7.534333223600000462e-01 1.548773545300000110e-01 3.416594311900000088e-04 1.946658356600000133e-14 5.011313335000000058e-04 4.541566276800000139e-08 1.003005888199999955e-10 1.070073918100000045e-06 1.688515378300000051e-11 1.000000000000000038e-25 3.299073022699999957e-06 3.191794319699999799e-08 6.605711268499999448e-08 3.301400830900000186e-09 2.136434970599999848e-09 4.613247467400000261e-07 1.065550823800000068e-11 1.786946448799999982e-12 3.501511959600000330e-05 1.000000000000000038e-25 3.640497839399999892e-06 6.355406798800000397e-05
1.421909302127621162e-03 2.112092895660079193e+03 7.798713634699999675e-02 7.649898131500000309e-01 1.558983440199999959e-01 3.449242991999999872e-04 3.355110596600000281e-14 5.044349381199999790e-04 4.567103448400000279e-08 1.309980279199999886e-10 1.379253467500000103e-06 2.177733148899999926e-11 1.000000000000000038e-25 3.368450952800000149e-06 3.807782978699999698e-08 6.659781945099999655e-08 3.368064698099999942e-09 2.413788628999999947e-09 4.107845868400000219e-07 1.051357327599999984e-11 2.756590208699999910e-12 3.524564988099999929e-05 1.000000000000000038e-25 3.664402872800000019e-06 6.397289347000000145e-05
1.790077753714970805e-03 2.105393446910760758e+03 6.713801570900000681e-02 7.749525094800000513e-01 1.567785519600000121e-01 3.477060548900000238e-04 5.736074014799999985e-14 5.072829831100000506e-04 4.591856063200000279e-08 1.703001637800000073e-10 1.756318689799999910e-06 2.797647727099999972e-11 1.000000000000000038e-25 3.427150037899999938e-06 4.514475349200000287e-08 6.707715453600000238e-08 3.433725692599999811e-09 2.721017469399999868e-09 3.665688290699999874e-07 1.038406511599999929e-11 4.226145536800000396e-12 3.544430941000000304e-05 1.000000000000000038e-25 3.684984659199999956e-06 6.433393294500000374e-05
