# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 3.515561965840377525e+03 9.108542481900000487e-01 7.900038285500000446e-05 8.828729260199999485e-02 7.567705709099999523e-12 1.000000000000000038e-25 2.488135255599999976e-04 2.870901848800000111e-12 1.000000000000000038e-25 1.000000000000000038e-25 2.773889532999999883e-12 1.000000000000000038e-25 1.797730949100000091e-10 8.515717772299999597e-13 4.142625098399999736e-12 2.830435908999999926e-14 1.740833458500000071e-12 2.594144118599999962e-05 1.042137427100000063e-11 1.000000000000000038e-25 6.055601698299999701e-06 1.000000000000000038e-25 2.124522897300000113e-06 3.622944028000000036e-05
4.496472020903842217e-05 3.497531194517490803e+03 9.108351164300000358e-01 1.078552200999999966e-04 8.829103233900000014e-02 1.366316867300000074e-11 1.000000000000000038e-25 2.594896730399999887e-04 3.972204166199999839e-12 1.000000000000000038e-25 1.000000000000000038e-25 3.793312748500000140e-12 1.000000000000000038e-25 2.342283335300000179e-10 1.094208067099999987e-12 5.662407699200000214e-12 3.828837720799999825e-14 2.880466223000000049e-12 2.429521661300000163e-05 1.260379682200000076e-11 1.000000000000000038e-25 7.700544529100000144e-06 1.000000000000000038e-25 2.124612889200000164e-06 3.623097301400000317e-05
5.660722890537316039e-05 3.469886812204943908e+03 9.107973241500000317e-01 1.540899238599999980e-04 8.829633309600000424e-02 2.720728631599999905e-11 1.000000000000000038e-25 2.691234533399999981e-04 5.770877789399999615e-12 1.000000000000000038e-25 1.000000000000000038e-25 5.123174689400000091e-12 1.000000000000000038e-25 3.127133116199999968e-10 1.429645630300000004e-12 8.307744877199999412e-12 5.527929709700000229e-14 4.932067654199999728e-12 2.205052492099999844e-05 1.498716932900000135e-11 1.000000000000000038e-25 9.945023314100000017e-06 1.000000000000000038e-25 2.124740445100000107e-06 3.623314560399999772e-05
7.126427896022353330e-05 3.453407454196585604e+03 9.107453192200000158e-01 2.093365098300000110e-04 8.830200374799999918e-02 4.956635241100000056e-11 1.000000000000000038e-25 2.742967189299999956e-04 7.911632136000000761e-12 1.000000000000000038e-25 1.761089448799999944e-14 6.526742992399999666e-12 1.000000000000000038e-25 3.948133064499999923e-10 1.781635011900000038e-12 1.149119092600000053e-11 7.572626576400000417e-14 7.639788770600000749e-12 2.013388495300000126e-05 1.764244898499999890e-11 1.000000000000000038e-25 1.186268697000000074e-05 1.000000000000000038e-25 2.124876901900000181e-06 3.623546940399999846e-05
8.971641173621374690e-05 3.438225390969478667e+03 9.106721108199999914e-01 2.828840693800000199e-04 8.830916757300000253e-02 8.985092494199999806e-11 1.000000000000000038e-25 2.778693033699999979e-04 1.078183989999999957e-11 1.000000000000000038e-25 3.141947288300000056e-14 8.099379629399999409e-12 1.000000000000000038e-25 4.912770108600000388e-10 2.190333301499999856e-12 1.586414831600000054e-11 1.036139353700000028e-13 1.148476635300000037e-11 1.823768098800000081e-05 2.057053665100000097e-11 1.000000000000000038e-25 1.376076619699999970e-05 1.000000000000000038e-25 2.125049289999999847e-06 3.623840503900000121e-05
1.129462705897078389e-04 3.423516486359400915e+03 9.105707992699999531e-01 3.814612648900000025e-04 8.831846037899999946e-02 1.628549821999999989e-10 1.000000000000000038e-25 2.803698070599999780e-04 1.466336532100000101e-11 1.000000000000000038e-25 5.585045478500000247e-14 9.829825988200000014e-12 1.000000000000000038e-25 6.049463710299999484e-10 2.665478576200000016e-12 2.193112422000000094e-11 1.419981272000000098e-13 1.686698859099999928e-11 1.638778874000000027e-05 2.376645493200000017e-11 1.000000000000000038e-25 1.561347950799999861e-05 1.000000000000000038e-25 2.125272909099999958e-06 3.624221316100000322e-05
1.421909302127632546e-04 3.410180648927917900e+03 9.104341985199999598e-01 5.117238128400000132e-04 8.833047609300000158e-02 2.928821155199999968e-10 1.000000000000000038e-25 2.820781937999999791e-04 1.982854352199999955e-11 1.000000000000000038e-25 9.845896298900000505e-14 1.172115277300000004e-11 1.000000000000000038e-25 7.369427637000000058e-10 3.212332123299999973e-12 3.016537711899999737e-11 1.937762661199999927e-13 2.421087159499999887e-11 1.466300604699999964e-05 2.731386920100000134e-11 1.000000000000000038e-25 1.734218501100000053e-05 1.000000000000000038e-25 2.125562051399999992e-06 3.624713717200000291e-05
1.790077753714985496e-04 3.396543762083812453e+03 9.102477398699999611e-01 6.873552875699999931e-04 8.834645565099999431e-02 5.292300662500000020e-10 1.000000000000000038e-25 2.833055027699999751e-04 2.686171372200000129e-11 1.000000000000000038e-25 1.739333404099999935e-13 1.375265389999999980e-11 1.000000000000000038e-25 8.932228706599999741e-10 3.850654992800000243e-12 4.166773689399999913e-11 2.655073933699999783e-13 3.425062932800000177e-11 1.302954172699999979e-05 3.117319871899999834e-11 1.000000000000000038e-25 1.898105810899999982e-05 1.000000000000000038e-25 2.125946578200000178e-06 3.625368585200000317e-05
2.253574373239214108e-04 3.383138698828044198e+03 9.099956333600000002e-01 9.228524236500000024e-04 8.836767929500000118e-02 9.567304247999999234e-10 1.000000000000000038e-25 2.841840227599999819e-04 3.637615901400000016e-11 1.000000000000000038e-25 3.071117267500000224e-13 1.592719541999999936e-11 1.000000000000000038e-25 1.077519441700000093e-09 4.594550444799999664e-12 5.759210201099999973e-11 3.640728389000000109e-13 4.778868920600000299e-11 1.152823303000000061e-05 3.542582396600000157e-11 1.000000000000000038e-25 2.048970155199999853e-05 1.000000000000000038e-25 2.126457296900000018e-06 3.626238400199999711e-05
2.837082045838957515e-04 3.369805875723534427e+03 9.096559133499999561e-01 1.238442864800000029e-03 8.839593981399999911e-02 1.729474124700000097e-09 1.000000000000000038e-25 2.848327946200000078e-04 4.924243614099999882e-11 1.000000000000000038e-25 5.418534385699999495e-13 1.823348607700000140e-11 1.000000000000000038e-25 1.295420711700000004e-09 5.463463086600000020e-12 7.964137526600000570e-11 4.995054835800000429e-13 6.586877839000000057e-11 1.016737971400000016e-05 4.010885153099999937e-11 1.000000000000000038e-25 2.186044080200000121e-05 1.000000000000000038e-25 2.127137348200000033e-06 3.627396662799999743e-05
