# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 3.896559078410284656e+03 9.107444990899999926e-01 1.682720237200000015e-05 8.826466544600000685e-02 4.939682250000000502e-13 1.000000000000000038e-25 6.363587192999999964e-05 2.124242261100000032e-13 1.000000000000000038e-25 1.000000000000000038e-25 2.343237171800000207e-13 1.000000000000000038e-25 3.281097026800000310e-11 2.029078980700000109e-13 6.733615719899999854e-13 1.000000000000000038e-25 8.446399326200000013e-14 3.207498081699999717e-05 7.809034780699999241e-12 1.000000000000000038e-25 5.543826474700000389e-07 1.000000000000000038e-25 2.123978403500000182e-06 3.622015764100000091e-05
4.496472020903842217e-05 3.869052646941453531e+03 9.107591389900000500e-01 2.344477010600000102e-05 8.826734194299999670e-02 9.196445646500000485e-13 1.000000000000000038e-25 8.674472271999999747e-05 3.883127349100000149e-13 1.000000000000000038e-25 1.000000000000000038e-25 4.414695903500000107e-13 1.000000000000000038e-25 4.608961915400000065e-11 2.800389102699999946e-13 9.384218323100000480e-13 1.000000000000000038e-25 1.636758049199999945e-13 3.154938318499999846e-05 9.999359044799999531e-12 1.000000000000000038e-25 8.184738038500000250e-07 1.000000000000000038e-25 2.124042809999999982e-06 3.622125479200000284e-05
5.660722890537316039e-05 3.832953369420029958e+03 9.107771558199999617e-01 3.380310288600000049e-05 8.827107915600000687e-02 1.798370810700000062e-12 1.000000000000000038e-25 1.179484301500000000e-04 7.195610138899999704e-13 1.000000000000000038e-25 1.000000000000000038e-25 8.600597130699999499e-13 1.000000000000000038e-25 6.729674601100000137e-11 3.993953539200000232e-13 1.346062359000000083e-12 1.092550259400000054e-14 3.387953341100000013e-13 3.091904299899999719e-05 1.290367698500000057e-11 1.000000000000000038e-25 1.272437675099999930e-06 1.000000000000000038e-25 2.124132741299999793e-06 3.622278678499999798e-05
7.126427896022353330e-05 3.821543156850964806e+03 9.107843197999999640e-01 4.443627392799999953e-05 8.827382921199999899e-02 2.966524790300000015e-12 1.000000000000000038e-25 1.378639556600000057e-04 1.057029475600000072e-12 1.000000000000000038e-25 1.000000000000000038e-25 1.351758519100000030e-12 1.000000000000000038e-25 8.803850123699999683e-11 5.185880073399999601e-13 1.719611500100000035e-12 1.387599493200000062e-14 5.740592892599999968e-13 3.044929247500000161e-05 1.622625970400000088e-11 1.000000000000000038e-25 1.682471691899999926e-06 1.000000000000000038e-25 2.124198917900000159e-06 3.622391345000000173e-05
8.971641173621374690e-05 3.813104226967255272e+03 9.107871779399999701e-01 5.778003416100000302e-05 8.827668957199999444e-02 4.789846782199999760e-12 1.000000000000000038e-25 1.562297592000000109e-04 1.489140744300000062e-12 1.000000000000000038e-25 1.000000000000000038e-25 2.045469118399999873e-12 1.000000000000000038e-25 1.133800198299999979e-10 6.641500912099999654e-13 2.163947131200000045e-12 1.738577937600000030e-14 9.444208442800000347e-13 2.992409576799999940e-05 2.029126571699999842e-11 1.000000000000000038e-25 2.169450520100000095e-06 1.000000000000000038e-25 2.124267748800000211e-06 3.622508490500000214e-05
1.129462705897078389e-04 3.803157616998234516e+03 9.107856337899999932e-01 7.553370458700000136e-05 8.827997917100000036e-02 7.795938158700000675e-12 1.000000000000000038e-25 1.748535842599999873e-04 2.077907639800000157e-12 1.000000000000000038e-25 1.000000000000000038e-25 3.067954586599999919e-12 1.000000000000000038e-25 1.463074456500000005e-10 8.514008504999999570e-13 2.736967006299999885e-12 2.187704464700000078e-14 1.556521511000000028e-12 2.926777921200000079e-05 2.528838801400000027e-11 1.000000000000000038e-25 2.797168779699999903e-06 1.000000000000000038e-25 2.124346908699999933e-06 3.622643185100000312e-05
1.421909302127632546e-04 3.793356071980903835e+03 9.107773089299999736e-01 9.879819558400000309e-05 8.828368084500000379e-02 1.270648465600000027e-11 1.000000000000000038e-25 1.924252592800000054e-04 2.853349725599999978e-12 1.000000000000000038e-25 1.000000000000000038e-25 4.517576365399999648e-12 1.000000000000000038e-25 1.879097114299999880e-10 1.086384736999999986e-12 3.464126767900000083e-12 2.754920225799999941e-14 2.539582315799999987e-12 2.847743230700000070e-05 3.137742064600000152e-11 1.000000000000000038e-25 3.567555887000000119e-06 1.000000000000000038e-25 2.124435984699999913e-06 3.622794706600000199e-05
1.790077753714985496e-04 3.782233826938506354e+03 9.107599693700000332e-01 1.298450754100000093e-04 8.828801817699999388e-02 2.091841577200000133e-11 1.000000000000000038e-25 2.091253117000000132e-04 3.890497728800000214e-12 1.000000000000000038e-25 1.077885362300000070e-14 6.561001553999999973e-12 1.000000000000000038e-25 2.410565204599999984e-10 1.383313541699999980e-12 4.417264888300000071e-12 3.492667026599999949e-14 4.124669158999999661e-12 2.750854768899999896e-05 3.869618997399999813e-11 1.000000000000000038e-25 4.522128027100000284e-06 1.000000000000000038e-25 2.124540356999999910e-06 3.622972205500000066e-05
2.253574373239214108e-04 3.770753903856424586e+03 9.107303848500000187e-01 1.709785145699999878e-04 8.829312472899999986e-02 3.467501094299999763e-11 1.000000000000000038e-25 2.241414180000000044e-04 5.257740803100000132e-12 1.000000000000000038e-25 1.841549320400000048e-14 9.344638208300000368e-12 1.000000000000000038e-25 3.075367498500000013e-10 1.751251773099999908e-12 5.664289182400000390e-12 4.451943323400000315e-14 6.616688931200000143e-12 2.636507707600000048e-05 4.738888223100000061e-11 1.000000000000000038e-25 5.656021081100000137e-06 1.000000000000000038e-25 2.124663239500000073e-06 3.623181132600000075e-05
2.837082045838957515e-04 3.758893357933532570e+03 9.106848410400000260e-01 2.254310602999999959e-04 8.829926710999999595e-02 5.788383835500000198e-11 1.000000000000000038e-25 2.372309218400000088e-04 7.057552994999999823e-12 1.000000000000000038e-25 3.152610498899999726e-14 1.302627332099999921e-11 1.000000000000000038e-25 3.896356969399999911e-10 2.201062369299999849e-12 7.310512281499999206e-12 5.710275556999999864e-14 1.045172669600000018e-11 2.505098631000000090e-05 5.753826733300000280e-11 1.000000000000000038e-25 6.964103671899999856e-06 1.000000000000000038e-25 2.124811047899999948e-06 3.623432391399999811e-05
3.571674682851644746e-04 3.746998331286254142e+03 9.106185940600000084e-01 2.974342097499999872e-04 8.830680586099999563e-02 9.730812173099999835e-11 1.000000000000000038e-25 2.482405045499999738e-04 9.425765779800000774e-12 1.000000000000000038e-25 5.404214447799999914e-14 1.775433160499999949e-11 1.000000000000000038e-25 4.896673931799999957e-10 2.743919744899999901e-12 9.496609536199999231e-12 7.371692355799999673e-14 1.622193146300000136e-11 2.359060149900000123e-05 6.926918334399999919e-11 1.000000000000000038e-25 8.421302741800000430e-06 1.000000000000000038e-25 2.124992457999999942e-06 3.623740726999999747e-05
4.496472020903805218e-04 3.735274498568718627e+03 9.105260231399999737e-01 3.921543232400000059e-04 8.831619780900000494e-02 1.643674718799999890e-10 1.000000000000000038e-25 2.571985599800000188e-04 1.253305791799999974e-11 1.000000000000000038e-25 9.252381431300000271e-14 2.363193596000000095e-11 1.000000000000000038e-25 6.096491082699999575e-10 3.389051416899999851e-12 1.240265951400000046e-11 9.568228376599999530e-14 2.467785085600000061e-11 2.202490626600000031e-05 8.263721404500000112e-11 1.000000000000000038e-25 9.986127554600000646e-06 1.000000000000000038e-25 2.125218462800000014e-06 3.624124827299999880e-05
5.660722890537269554e-04 3.723199817625180913e+03 9.103982348800000457e-01 5.180356663899999539e-04 8.832821812400000472e-02 2.803555103100000043e-10 1.000000000000000038e-25 2.644216148900000092e-04 1.666667947399999915e-11 1.000000000000000038e-25 1.589466050700000011e-13 3.079514161900000233e-11 1.000000000000000038e-25 7.537559707099999614e-10 4.155655234299999862e-12 1.633610464900000053e-11 1.252270662400000107e-13 3.694100799100000108e-11 2.037136655300000128e-05 9.774637154399999952e-11 1.000000000000000038e-25 1.164082974000000031e-05 1.000000000000000038e-25 2.125507715599999972e-06 3.624616414399999903e-05
7.126427896022295054e-04 3.710215801098009251e+03 9.102227060099999933e-01 6.868042120100000024e-04 8.834392644199999534e-02 4.843594690200000305e-10 1.000000000000000038e-25 2.701752326599999839e-04 2.223428573500000142e-11 1.000000000000000038e-25 2.747090144600000016e-13 3.930663537699999829e-11 1.000000000000000038e-25 9.268916971100000108e-10 5.064742000599999606e-12 2.175164993300000063e-11 1.655992506200000080e-13 5.452601509299999854e-11 1.865274618499999945e-05 1.145659372499999972e-10 1.000000000000000038e-25 1.336267913299999956e-05 1.000000000000000038e-25 2.125885715199999944e-06 3.625258862999999876e-05
8.971641173621299880e-04 3.696335328511997886e+03 9.099823327299999542e-01 9.142866529900000108e-04 8.836473352800000569e-02 8.480861475300000488e-10 1.000000000000000038e-25 2.746483344300000269e-04 2.979105624699999883e-11 1.000000000000000038e-25 4.781289003200000246e-13 4.916019251599999889e-11 1.000000000000000038e-25 1.134412701299999994e-09 6.139410141099999954e-12 2.928179980999999946e-11 2.212921800800000080e-13 7.942508842499999504e-11 1.691020576200000068e-05 1.331394343799999893e-10 1.000000000000000038e-25 1.511082343299999916e-05 1.000000000000000038e-25 2.126386409599999833e-06 3.626109919300000246e-05
1.129462705897069227e-03 3.681908660028727354e+03 9.096564959899999803e-01 1.219474072800000091e-03 8.839232297200000366e-02 1.497602875699999903e-09 1.000000000000000038e-25 2.780211249299999795e-04 4.001373226300000309e-11 1.000000000000000038e-25 8.348662394799999825e-13 6.022823872499999871e-11 1.000000000000000038e-25 1.380710667400000076e-09 7.397677787500000781e-12 3.972230659799999992e-11 2.979017977600000024e-13 1.139755954000000005e-10 1.520314594799999957e-05 1.534678593400000015e-10 1.000000000000000038e-25 1.682633475500000013e-05 1.000000000000000038e-25 2.127050311899999818e-06 3.627238504200000079e-05
1.421909302127621162e-03 3.666923950787574086e+03 9.092129448600000385e-01 1.632131840700000057e-03 8.842933992300000545e-02 2.672860836799999926e-09 1.000000000000000038e-25 2.805480732300000106e-04 5.396856134899999719e-11 1.000000000000000038e-25 1.466957076699999915e-12 7.247304471999999878e-11 1.000000000000000038e-25 1.674524537399999988e-09 8.878221149499999982e-12 5.433908218500000046e-11 4.042880214800000085e-13 1.616396889800000056e-10 1.356007042100000016e-05 1.757880038100000053e-10 1.000000000000000038e-25 1.848153329900000062e-05 1.000000000000000038e-25 2.127941073599999821e-06 3.628752905799999875e-05
1.790077753714970805e-03 3.651170959433738972e+03 9.086102372600000088e-01 2.190414422900000078e-03 8.847916521099999376e-02 4.811512600200000345e-09 1.000000000000000038e-25 2.824429993699999935e-04 7.305813240099999552e-11 1.000000000000000038e-25 2.589763766700000083e-12 8.568390440300000330e-11 1.000000000000000038e-25 2.024874749900000195e-09 1.061729791599999990e-11 7.488655185200000405e-11 5.528391553899999593e-13 2.265655957500000046e-10 1.201032135799999978e-05 2.000286761400000000e-10 1.000000000000000038e-25 2.004820339499999862e-05 1.000000000000000038e-25 2.129140048900000122e-06 3.630791573399999811e-05
2.253574373239196002e-03 3.634801848934876489e+03 9.077893801099999882e-01 2.948566675499999807e-03 8.854659826400000655e-02 8.734824211400000056e-09 1.000000000000000038e-25 2.838878907200000101e-04 9.928867682600000477e-11 1.000000000000000038e-25 4.597698570700000211e-12 9.978127645299999857e-11 1.000000000000000038e-25 2.444939131100000173e-09 1.267200630599999953e-11 1.039072847200000052e-10 7.603972678000000400e-13 3.144805201199999952e-10 1.057566815300000023e-05 2.265276222700000003e-10 1.000000000000000038e-25 2.150623692599999866e-05 1.000000000000000038e-25 2.130762727999999893e-06 3.633551039599999713e-05
2.837082045838934530e-03 3.618573546532554246e+03 9.066868108900000278e-01 3.964948838999999940e-03 8.863679360199999691e-02 1.584868610300000148e-08 1.000000000000000038e-25 2.850205364000000250e-04 1.348573126399999920e-10 1.577076977600000083e-14 8.151688652899999506e-12 1.147090525200000022e-10 1.000000000000000038e-25 2.944989454600000202e-09 1.508828696900000059e-11 1.442650913899999938e-10 1.046696930200000052e-12 4.314709517400000124e-10 9.292102850600000348e-06 2.557726753900000060e-10 1.000000000000000038e-25 2.282145601199999835e-05 1.000000000000000038e-25 2.132933144700000202e-06 3.637242378600000231e-05
3.571674682851615906e-03 3.603197281555186237e+03 9.052227330900000091e-01 5.312869939699999683e-03 8.875623073299999943e-02 2.857606790700000011e-08 1.000000000000000038e-25 2.859728890899999789e-04 1.825274574799999986e-10 3.254687495000000017e-14 1.438040282200000051e-11 1.307044084600000081e-10 1.000000000000000038e-25 3.539578106499999840e-09 1.793647133799999895e-11 1.995248252800000037e-10 1.436079966199999938e-12 5.854833497999999923e-10 8.172676250000000575e-06 2.887732476700000065e-10 1.000000000000000038e-25 2.398309927699999894e-05 1.000000000000000038e-25 2.135807214499999807e-06 3.642130877000000170e-05
4.496472020903767922e-03 3.588710699004504932e+03 9.032947710800000030e-01 7.086423281699999813e-03 8.891323063700000418e-02 5.107216159300000149e-08 1.000000000000000038e-25 2.868621815500000012e-04 2.459227061799999947e-10 6.612857216900000328e-14 2.519675978099999863e-11 1.479459891999999888e-10 1.000000000000000038e-25 4.248985363200000142e-09 2.130917434099999893e-11 2.744744297700000216e-10 1.961068367799999940e-12 7.864493335400000008e-10 7.207926544400000080e-06 3.263069009300000183e-10 1.000000000000000038e-25 2.500358085799999873e-05 1.000000000000000038e-25 2.139585162200000132e-06 3.648557265900000015e-05
5.660722890537223800e-03 3.575125094355104011e+03 9.007674610100000478e-01 9.410091516799999264e-03 8.911879963299999818e-02 9.047665509299999833e-08 1.000000000000000038e-25 2.877857698899999881e-04 3.298866364399999934e-10 1.325943848099999913e-13 4.388258499400000086e-11 1.668130792599999955e-10 1.000000000000000038e-25 5.102890032600000175e-09 2.534434489700000073e-11 3.754886350400000061e-10 2.665161341200000175e-12 1.047888023499999961e-09 6.382050325000000388e-06 3.696286940799999746e-10 1.000000000000000038e-25 2.590262527299999964e-05 1.000000000000000038e-25 2.144531825199999834e-06 3.656972196399999866e-05
7.126427896022236724e-03 3.562484470973228781e+03 8.974860153100000515e-01 1.242608452000000009e-02 8.938550873200000468e-02 1.584862398499999984e-07 1.000000000000000038e-25 2.888246108500000021e-04 4.401204145899999823e-10 2.620739447799999751e-13 7.582993974099999439e-11 1.876615422699999975e-10 1.000000000000000038e-25 6.136138984500000128e-09 3.020297405100000240e-11 5.101565071700000453e-10 3.600268104699999932e-12 1.385561139400000026e-09 5.681560128199999881e-06 4.200147012799999896e-10 1.000000000000000038e-25 2.669820755599999949e-05 1.000000000000000038e-25 2.150949683200000085e-06 3.667890374500000250e-05
8.971641173621227455e-03 3.550348861926376230e+03 8.932217246800000510e-01 1.634452016300000018e-02 8.973193155099999652e-02 2.754424369199999974e-07 1.000000000000000038e-25 2.900674513299999840e-04 5.852431385500000168e-10 5.129264337099999787e-13 1.304593797100000013e-10 2.108960095800000010e-10 1.000000000000000038e-25 7.407505628900000297e-09 3.614965132299999755e-11 6.901095861699999515e-10 4.845922599499999916e-12 1.822333906400000061e-09 5.084827460699999974e-06 4.790674255300000410e-10 1.000000000000000038e-25 2.741858993300000017e-05 1.000000000000000038e-25 2.159285642399999902e-06 3.682072330000000246e-05
1.129462705897060076e-02 3.537262565917876600e+03 8.875897666299999988e-01 2.151891995599999885e-02 9.018931652400000165e-02 4.798735685000000489e-07 1.000000000000000038e-25 2.916353373699999874e-04 7.803784970300000338e-10 1.002850675700000078e-12 2.254071778900000096e-10 2.363155923800000068e-10 1.000000000000000038e-25 9.024407392600000325e-09 4.363651490599999842e-11 9.371221643700000070e-10 6.548398675999999856e-12 2.391488926100000132e-09 4.564273439499999706e-06 5.476739842499999920e-10 1.000000000000000038e-25 2.810252050699999898e-05 1.000000000000000038e-25 2.170291573000000029e-06 3.700798102199999700e-05
1.421909302127609409e-02 3.520211566493873761e+03 8.797406469699999843e-01 2.872961647700000148e-02 9.082663235500000598e-02 8.611964938100000243e-07 1.000000000000000038e-25 2.937649627100000042e-04 1.059800909800000054e-09 2.006990894400000004e-12 4.006344789000000139e-10 2.630533860499999810e-10 1.000000000000000038e-25 1.124083392399999981e-08 5.370206330900000110e-11 1.303085787100000061e-09 9.051574387800000072e-12 3.157175473500000040e-09 4.085764817300000094e-06 6.269349733500000423e-10 1.000000000000000038e-25 2.880879096799999963e-05 1.000000000000000038e-25 2.185626928600000173e-06 3.726893659399999775e-05
