# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 2.710220303465128382e+03 9.020126178299999742e-01 8.307118918199999161e-03 8.902556890799999401e-02 1.063035013999999934e-07 1.000000000000000038e-25 2.880817539399999853e-04 5.463468878000000249e-10 1.000000000000000038e-25 6.703328433600000306e-12 8.416812075399999730e-13 1.000000000000000038e-25 4.876662579999999903e-09 1.046955258399999954e-11 1.675230519400000049e-09 1.401529862899999975e-11 3.921640463900000222e-11 2.367555839399999874e-06 3.782119121200000064e-12 1.000000000000000038e-25 2.053355020500000075e-05 1.000000000000000038e-25 2.093102851300000211e-06 3.653237516800000081e-05
4.496472020903842217e-05 2.695766491102412601e+03 8.984635777899999676e-01 1.156834051800000041e-02 8.931386408899999463e-02 2.072002816599999887e-07 1.000000000000000038e-25 2.890147481700000012e-04 7.712682120500000094e-10 1.000000000000000038e-25 1.267895336099999978e-11 8.996573386200000284e-13 1.000000000000000038e-25 6.844343934499999736e-09 1.443896037199999920e-11 2.411525602699999915e-09 2.027442835300000024e-11 5.172178736000000248e-11 2.309845443399999968e-06 4.770265088100000002e-12 1.000000000000000038e-25 2.066344608000000052e-05 1.000000000000000038e-25 2.099880973599999934e-06 3.665067058199999984e-05
5.660722890537316039e-05 2.678331062036098956e+03 8.931569619900000534e-01 1.644317910800000004e-02 8.974466602099999413e-02 4.234269453200000041e-07 1.000000000000000038e-25 2.904086650799999995e-04 1.121505097699999984e-09 1.000000000000000038e-25 2.492114542300000095e-11 9.480812838300000268e-13 1.000000000000000038e-25 9.976949989900000193e-09 2.060943008900000138e-11 3.566930992899999969e-09 3.036655576999999753e-11 6.882869841099999766e-11 2.270643604399999987e-06 6.092994935999999940e-12 1.000000000000000038e-25 2.081032447499999872e-05 1.000000000000000038e-25 2.110009549999999829e-06 3.682744173000000206e-05
7.126427896022353330e-05 2.674216645999244065e+03 8.880646039999999797e-01 2.112029158299999834e-02 9.015791381000000382e-02 7.019113232300000424e-07 1.000000000000000038e-25 2.917456590799999872e-04 1.456332212700000027e-09 1.187988882099999959e-14 4.132289147900000177e-11 1.056302748800000063e-12 1.000000000000000038e-25 1.301243405099999969e-08 2.677417871699999964e-11 4.565632000500000382e-09 3.968350486999999721e-11 8.774978708699999454e-11 2.257690050600000141e-06 7.650047108000000195e-12 1.000000000000000038e-25 2.092653314000000151e-05 1.000000000000000038e-25 2.119725372500000091e-06 3.699700774499999962e-05
8.971641173621374690e-05 2.667723787228353103e+03 8.810931329700000258e-01 2.752286851599999862e-02 9.072359317000000534e-02 1.202701333100000082e-06 1.000000000000000038e-25 2.935757626400000006e-04 1.931660212100000056e-09 2.247278259199999927e-14 7.050755851200000614e-11 1.166625698100000050e-12 1.000000000000000038e-25 1.741900708600000051e-08 3.561029302200000075e-11 5.945581673800000166e-09 5.317656296199999865e-11 1.126706846799999956e-10 2.250295177999999952e-06 9.659739020599999369e-12 1.000000000000000038e-25 2.107501913400000167e-05 1.000000000000000038e-25 2.133024937800000053e-06 3.722912113199999817e-05
1.129462705897078389e-04 2.657644853829511703e+03 8.711899614200000475e-01 3.661747271400000309e-02 9.152711664300000605e-02 2.160164964500000209e-06 1.000000000000000038e-25 2.961752750299999977e-04 2.641016342499999833e-09 4.402803793999999941e-14 1.253784405699999903e-10 1.272151139699999967e-12 1.000000000000000038e-25 2.420936628199999853e-08 4.899232278000000084e-11 7.922940257199999273e-09 7.387793812300000558e-11 1.461085477199999979e-10 2.249157881200000143e-06 1.227879974000000072e-11 1.000000000000000038e-25 2.127604034499999938e-05 1.000000000000000038e-25 2.151916285300000209e-06 3.755882999699999803e-05
1.421909302127632546e-04 2.643692898815650551e+03 8.568660508200000026e-01 4.977139755699999668e-02 9.268933205099999517e-02 4.073873800599999928e-06 1.000000000000000038e-25 2.999351070199999928e-04 3.731023344400000114e-09 8.964337998300000413e-14 2.335605903999999975e-10 1.373254680299999935e-12 1.000000000000000038e-25 3.514443267199999999e-08 7.016258592000000247e-11 1.074466406700000010e-08 1.066931821400000056e-10 1.917455423900000026e-10 2.255654323500000018e-06 1.572806139399999931e-11 1.000000000000000038e-25 2.155754277500000139e-05 1.000000000000000038e-25 2.179240448999999906e-06 3.803572281899999808e-05
1.790077753714985496e-04 2.592879910527174616e+03 8.176412910600000528e-01 8.579099335300000018e-02 9.587230455400000406e-02 1.282403588999999991e-05 1.000000000000000038e-25 3.102316625299999966e-04 7.192528870599999913e-09 2.727562997100000150e-13 6.867974656200000188e-10 1.309221680599999930e-12 1.000000000000000038e-25 7.426331311700000440e-08 1.407735018300000000e-10 1.862553216099999974e-08 2.234437285699999880e-10 2.814708319899999814e-10 2.281435054100000053e-06 2.140222285100000046e-11 1.000000000000000038e-25 2.231136224899999928e-05 1.000000000000000038e-25 2.254071939199999837e-06 3.934182326200000242e-05
2.253574373239214108e-04 2.492862013364647282e+03 7.057705449600000236e-01 1.885158317099999981e-01 1.049531409100000062e-01 6.317077580600000142e-05 1.000000000000000038e-25 3.396056620400000089e-04 1.843110214100000035e-08 1.295119971899999921e-12 3.643244035399999944e-09 1.251373306200000040e-12 1.000000000000000038e-25 2.646969266399999903e-07 4.706646413300000254e-10 3.403135390000000078e-08 6.690589457900000003e-10 4.739444554700000046e-10 2.306250418799999936e-06 2.970897785000000290e-11 1.000000000000000038e-25 2.443183620899999997e-05 1.000000000000000038e-25 2.467549759899999892e-06 4.306810036599999751e-05
2.837082045838957515e-04 2.408832543581818754e+03 5.600693132299999766e-01 3.223036828099999918e-01 1.167814030599999969e-01 1.516773889599999962e-04 1.000000000000000038e-25 3.778698934499999883e-04 2.997672577299999726e-08 4.212008718099999829e-12 1.435470557600000034e-08 1.725089106899999941e-12 1.000000000000000038e-25 7.135955529499999621e-07 1.344708782000000036e-09 4.435801849400000258e-08 1.239796480799999907e-09 7.208684662799999596e-10 2.144915677699999893e-06 3.398557207500000095e-11 1.000000000000000038e-25 2.718637160000000145e-05 1.000000000000000038e-25 2.745595667199999805e-06 4.792177835699999846e-05
