# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 1.228757611763734076e+03 5.105584785900000005e-05 8.367959654700000138e-01 1.622481671800000136e-01 2.531250794200000224e-04 3.770425394800000054e-13 5.249214576100000480e-04 1.070187404500000011e-07 3.808222175599999726e-11 2.194323394699999982e-05 1.090307442600000001e-12 1.000000000000000038e-25 3.729758547299999943e-06 2.397752120400000087e-07 1.000000000000000038e-25 2.687751594300000108e-11 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.182598138300000178e-09 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 2.085971623299999901e-07
4.496472020903842217e-05 1.235145923749746544e+03 5.096161776099999708e-05 8.367956480099999483e-01 1.622481242100000109e-01 2.532271571900000231e-04 5.325361056300000042e-13 5.249230233500000497e-04 1.053133337599999960e-07 4.659269504200000100e-11 2.199235237700000091e-05 1.368281685399999932e-12 1.000000000000000038e-25 3.729756601500000021e-06 2.397466887600000100e-07 1.000000000000000038e-25 3.123265910700000160e-11 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 6.174925723000000299e-09 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 2.655163679599999989e-07
5.660722890537316039e-05 1.250544766251450028e+03 5.936944381200000211e-05 8.367865366800000260e-01 1.622472950999999941e-01 2.538592788400000229e-04 6.423566518299999683e-13 5.249240990800000273e-04 1.015537272500000006e-07 5.485630779799999974e-11 2.195957348000000014e-05 1.708156208000000040e-12 1.000000000000000038e-25 3.729736864999999843e-06 2.401568337700000131e-07 1.000000000000000038e-25 5.069652577899999851e-11 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 6.000846999899999953e-09 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.960732640699999655e-07
7.126427896022353330e-05 1.264641784111422112e+03 6.725685861600000294e-05 8.367771805200000523e-01 1.622464577899999927e-01 2.549764535400000096e-04 7.952790067699999955e-13 5.249244118900000438e-04 9.853031164499999803e-08 6.502358633300000006e-11 2.191028740999999996e-05 2.129174095699999983e-12 1.000000000000000038e-25 3.729716798700000098e-06 2.404502427100000002e-07 1.000000000000000038e-25 7.316293207099999642e-11 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 6.048955834700000123e-09 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.153614705800000105e-06
8.971641173621374690e-05 1.277198553981910209e+03 7.388912776000000453e-05 8.367679359599999867e-01 1.622455979499999867e-01 2.565093038099999778e-04 1.014380534299999973e-12 5.249239728800000329e-04 9.618566251799999784e-08 7.768370178299999862e-11 2.185309264799999878e-05 2.652077461799999915e-12 1.000000000000000038e-25 3.729696044099999964e-06 2.406468617099999797e-07 1.000000000000000038e-25 9.777049525600000178e-11 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 6.351300866899999751e-09 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.905289535699999930e-06
1.129462705897078389e-04 1.290280092665393113e+03 8.155530033899999534e-05 8.367563051299999888e-01 1.622445619400000039e-01 2.590488859499999984e-04 1.281820167700000014e-12 5.249225930499999910e-04 9.421154818500000114e-08 9.265451563700000243e-11 2.174839377699999977e-05 3.288515458200000149e-12 1.000000000000000038e-25 3.729671122000000118e-06 2.408375688999999791e-07 1.000000000000000038e-25 1.320922285499999887e-10 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 6.624931255199999968e-09 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 3.138492382899999823e-06
1.421909302127632546e-04 1.302030705116279933e+03 8.772510458499999380e-05 8.367463196500000144e-01 1.622437164199999893e-01 2.616604295799999751e-04 1.664620977900000097e-12 5.249214276300000117e-04 9.263916103700000215e-08 1.113165409599999980e-10 2.166461694499999832e-05 4.083060209299999994e-12 1.000000000000000038e-25 3.729650390299999887e-06 2.409641897600000045e-07 1.000000000000000038e-25 1.673481758500000011e-10 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 7.155852718300000299e-09 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 4.488369427700000139e-06
1.790077753714985496e-04 1.314185235926582664e+03 9.467986041799999726e-05 8.367354296500000288e-01 1.622427428700000118e-01 2.640758553299999778e-04 2.154484357700000171e-12 5.249199288800000373e-04 9.098538870599999786e-08 1.335560697799999892e-10 2.162611311400000112e-05 5.070541348599999936e-12 1.000000000000000038e-25 3.729626630699999969e-06 2.410891462600000149e-07 1.000000000000000038e-25 2.136672461199999934e-10 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 7.691587808999999307e-09 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 6.086323464899999671e-06
2.253574373239214108e-04 1.326150307928720395e+03 1.015045174899999983e-04 8.367236780600000312e-01 1.622416866599999952e-01 2.670015432200000156e-04 2.803864030499999857e-12 5.249178774600000204e-04 8.961634209300000534e-08 1.605546926599999903e-10 2.157951570700000014e-05 6.288385277300000053e-12 1.000000000000000038e-25 3.729600785699999920e-06 2.411947276200000057e-07 1.000000000000000038e-25 2.682227668199999993e-10 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 8.343087851500000762e-09 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 8.016101903799999770e-06
2.837082045838957515e-04 1.338416836555095870e+03 1.089988710800000036e-04 8.367095952399999925e-01 1.622404101699999879e-01 2.708061706900000121e-04 3.629353080600000062e-12 5.249148244699999985e-04 8.853558226500000009e-08 1.928550730000000123e-10 2.151351709099999851e-05 7.770577596800000124e-12 1.000000000000000038e-25 3.729569680699999848e-06 2.412964890299999938e-07 1.000000000000000038e-25 3.378869447199999796e-10 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 9.027014746899999309e-09 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.052022654700000036e-05
