# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 6.663500374455090878e+02 5.727654815499999992e-13 8.368552363500000313e-01 1.622689437800000078e-01 2.497348668100000165e-04 3.593321700699999882e-05 4.872610428800000157e-04 1.901450739099999919e-06 3.355015274200000133e-09 2.537926880199999869e-05 1.426524382999999913e-12 1.000000000000000038e-25 5.433364152400000215e-08 2.854036901600000037e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.365814024000000413e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.757897114299999972e-07 1.000000000000000038e-25
4.496472020903842217e-05 6.713793491760052348e+02 6.864595925999999890e-13 8.368483273900000352e-01 1.622706148699999962e-01 2.549659005600000083e-04 4.108303408399999906e-05 4.821930803799999747e-04 1.825003439600000001e-06 3.936080533499999697e-09 2.537953006900000040e-05 1.733977836600000041e-12 1.000000000000000038e-25 5.433333493299999674e-08 2.937869086400000154e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.365869247100000379e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.778962510300000228e-07 1.000000000000000038e-25
5.660722890537316039e-05 6.808204855567312279e+02 1.057479399899999913e-12 8.368517268599999781e-01 1.622697231599999901e-01 2.524606293200000072e-04 3.834966900600000021e-05 4.850948005199999936e-04 1.653762343999999933e-06 4.351108786300000098e-09 2.537939026199999840e-05 2.202830083200000000e-12 1.000000000000000038e-25 5.433330176599999936e-08 3.385150858000000016e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.365828604499999675e-07 1.000000000000000038e-25 1.000000000000000038e-25 4.322198351499999781e-07 1.000000000000000038e-25
7.126427896022353330e-05 6.867379232856002318e+02 1.319893286500000055e-12 8.368462852800000462e-01 1.622710311199999922e-01 2.565885597799999994e-04 4.238291939199999959e-05 4.811465158499999813e-04 1.573028641099999907e-06 5.054913008200000226e-09 2.537959463899999894e-05 2.694240494900000085e-12 1.000000000000000038e-25 5.433314705300000104e-08 3.539298165600000052e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.365869795600000198e-07 1.000000000000000038e-25 1.000000000000000038e-25 4.433225980699999968e-07 1.000000000000000038e-25
8.971641173621374690e-05 6.904498097162363592e+02 1.446602190000000088e-12 8.368338974900000338e-01 1.622740609999999972e-01 2.659342208500000229e-04 5.171412851900000074e-05 4.718552556399999739e-04 1.542883814000000027e-06 6.058028585899999618e-09 2.538006846400000027e-05 3.200990090500000031e-12 1.000000000000000038e-25 5.433295086400000135e-08 3.488600475899999923e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.365974304199999853e-07 1.000000000000000038e-25 1.000000000000000038e-25 4.243561387400000005e-07 1.000000000000000038e-25
1.129462705897078389e-04 6.943250493300365633e+02 1.597317322700000047e-12 8.368199643599999460e-01 1.622774684799999922e-01 2.764460748100000076e-04 6.220901918499999726e-05 4.614026238000000155e-04 1.511650855300000003e-06 7.243542225500000360e-09 2.538060133300000022e-05 3.778156140800000219e-12 1.000000000000000038e-25 5.433276618699999885e-08 3.441320840900000177e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.366090662700000491e-07 1.000000000000000038e-25 1.000000000000000038e-25 4.063003909499999834e-07 1.000000000000000038e-25
1.421909302127632546e-04 6.979300383770946610e+02 1.734071352200000004e-12 8.368027241200000077e-01 1.622816883000000043e-01 2.894494533700000161e-04 7.520580420300000603e-05 4.484441670800000000e-04 1.486977104999999972e-06 8.702915177900000187e-09 2.538126127400000033e-05 4.405444357800000100e-12 1.000000000000000038e-25 5.433255674799999741e-08 3.357679631499999703e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.366234386999999665e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.837116318400000062e-07 1.000000000000000038e-25
1.790077753714985496e-04 7.021456869717045493e+02 1.942032392999999947e-12 8.367855083499999846e-01 1.622858972400000044e-01 3.024391123700000193e-04 8.817069328199999591e-05 4.355289029799999851e-04 1.450971352999999907e-06 1.037318477600000038e-08 2.538191946800000162e-05 5.138440917599999622e-12 1.000000000000000038e-25 5.433232212899999755e-08 3.317202742899999901e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.366376229999999732e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.675937536300000046e-07 1.000000000000000038e-25
2.253574373239214108e-04 7.069661109599085194e+02 2.238916913900000108e-12 8.367687662599999632e-01 1.622899844300000061e-01 3.150732210900000102e-04 1.007638070799999968e-04 4.229952883899999890e-04 1.404697272599999946e-06 1.228168831100000028e-08 2.538255857399999974e-05 6.010811358400000020e-12 1.000000000000000038e-25 5.434830722200000328e-08 3.317905443999999900e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.366512842000000201e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.572124365600000069e-07 1.000000000000000038e-25
2.837082045838957515e-04 7.122992175694545267e+02 2.642441914800000018e-12 8.367527337400000320e-01 1.622938961600000063e-01 3.271779672699999921e-04 1.128152131099999938e-04 4.110103898200000204e-04 1.350846934000000051e-06 1.445336425899999961e-08 2.538317018600000125e-05 7.051474837900000399e-12 1.000000000000000038e-25 5.434175759499999758e-08 3.353852323000000147e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.366642723200000224e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.514966249799999941e-07 1.000000000000000038e-25
