# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 1.118978868188386059e+03 5.987164261799999633e-06 8.368372964800000480e-01 1.622521337499999994e-01 2.546908628700000226e-04 3.278830201100000156e-12 5.248933760799999503e-04 1.479345562099999932e-07 6.507592360600000194e-11 2.224465416299999966e-05 1.136254272000000069e-12 1.000000000000000038e-25 3.729843577400000144e-06 2.215970984100000054e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 6.806522754199999543e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 7.523330278299999260e-12
4.496472020903842217e-05 1.125286753285730811e+03 6.104018909199999944e-06 8.368371820600000177e-01 1.622521266799999973e-01 2.546641931900000080e-04 4.534348285100000259e-12 5.248963280700000506e-04 1.449581187400000091e-07 7.920711226600000174e-11 2.227838053600000141e-05 1.426117086799999942e-12 1.000000000000000038e-25 3.729841971600000184e-06 2.218084291599999886e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 7.691064293700000050e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 9.904806427800000755e-12
5.660722890537316039e-05 1.138535705047306237e+03 7.178539935499999829e-06 8.368361855699999463e-01 1.622520371399999994e-01 2.546057102399999837e-04 5.430000056399999912e-12 5.249019773399999809e-04 1.390177468600000022e-07 9.305697380800000381e-11 2.232811186700000137e-05 1.785158394299999902e-12 1.000000000000000038e-25 3.729838938200000002e-06 2.243348903700000070e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 7.529289436499999383e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 2.390451083900000113e-11
7.126427896022353330e-05 1.150573257317096704e+03 8.185640049800000531e-06 8.368352520399999772e-01 1.622519540500000079e-01 2.545540768499999855e-04 6.706307283700000097e-12 5.249067591599999513e-04 1.339651958600000040e-07 1.101456733199999951e-10 2.237319821999999856e-05 2.235410074300000130e-12 1.000000000000000038e-25 3.729835863900000062e-06 2.261653019399999953e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 7.597182799199999720e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 4.964041155200000257e-11
8.971641173621374690e-05 1.161562317610192167e+03 9.096279508699999295e-06 8.368344077399999525e-01 1.622518796500000138e-01 2.545082048099999838e-04 8.504464004199999645e-12 5.249108699900000312e-04 1.296111310199999902e-07 1.312365186800000014e-10 2.241491808600000091e-05 2.801280085200000078e-12 1.000000000000000038e-25 3.729832792599999816e-06 2.275003518700000024e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 7.866472623300000530e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 9.093846623500000028e-11
1.129462705897078389e-04 1.172413518981418520e+03 1.004235324400000084e-05 8.368335311600000326e-01 1.622518025899999938e-01 2.544639056900000135e-04 1.084767252899999968e-11 5.249146884599999695e-04 1.255401028000000108e-07 1.565432236600000073e-10 2.245532216400000032e-05 3.508919634199999852e-12 1.000000000000000038e-25 3.729829536800000012e-06 2.286602187300000005e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 8.193629726900000076e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.612710447000000013e-10
1.421909302127632546e-04 1.182463386730152706e+03 1.087075062600000043e-05 8.368327628299999654e-01 1.622517358299999934e-01 2.544240172699999939e-04 1.413448382699999989e-11 5.249180504499999494e-04 1.219577485000000002e-07 1.877997089199999964e-10 2.249366180399999855e-05 4.401124677400000332e-12 1.000000000000000038e-25 3.729826297800000015e-06 2.295148110499999877e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 8.705319160799999482e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 2.600263168900000157e-10
1.790077753714985496e-04 1.192502520213381558e+03 1.173067176899999974e-05 8.368319654800000507e-01 1.622516666499999871e-01 2.543850208400000117e-04 1.846008487700000137e-11 5.249212303199999674e-04 1.185484061700000031e-07 2.253561217300000101e-10 2.253127218999999903e-05 5.517330550700000172e-12 1.000000000000000038e-25 3.729822861000000084e-06 2.302884000999999940e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 9.268031815599999899e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 4.126429757699999960e-10
2.253574373239214108e-04 1.202298423270490730e+03 1.256055279899999921e-05 8.368311955199999597e-01 1.622516002499999888e-01 2.543479069799999838e-04 2.431275177900000067e-11 5.249241823300000200e-04 1.153740922699999981e-07 2.710270832399999888e-10 2.256797656600000135e-05 6.920039913700000382e-12 1.000000000000000038e-25 3.729819294600000192e-06 2.309397630299999905e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 9.936140268899999982e-08 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 6.304994164499999723e-10
2.837082045838957515e-04 1.212157672331432877e+03 1.342757971199999924e-05 8.368303910300000092e-01 1.622515309199999978e-01 2.543114513499999756e-04 3.205230926899999812e-11 5.249269980499999535e-04 1.123243185900000013e-07 3.259529156900000028e-10 2.260418052500000075e-05 8.675734407800000505e-12 1.000000000000000038e-25 3.729815494699999822e-06 2.315440642799999947e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.065483853399999937e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 9.552976923099999304e-10
3.571674682851644746e-04 1.222429854953153153e+03 1.441654236299999957e-05 8.368294737899999447e-01 1.622514515200000063e-01 2.542744357100000063e-04 4.209430176099999993e-11 5.249297606899999647e-04 1.092922391999999937e-07 3.916983615800000002e-10 2.264039451800000161e-05 1.087940068199999923e-11 1.000000000000000038e-25 3.729811315500000078e-06 2.321606404099999995e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.136858281799999949e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.477240132699999946e-09
4.496472020903805218e-04 1.233092458834276840e+03 1.554032125499999896e-05 8.368284315099999704e-01 1.622513609400000056e-01 2.542372740199999809e-04 5.503561569900000049e-11 5.249324520499999529e-04 1.062917536199999937e-07 4.700993874599999973e-10 2.267644329800000042e-05 1.363723979000000077e-11 1.000000000000000038e-25 3.729806730200000058e-06 2.327817921300000089e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.207046394299999900e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 2.327107097100000050e-09
5.660722890537269554e-04 1.243939938565846205e+03 1.675027977100000079e-05 8.368273082099999538e-01 1.622512632499999996e-01 2.542011617199999821e-04 7.200209558999999851e-11 5.249350248100000029e-04 1.033821009599999953e-07 5.643724075599999680e-10 2.271211251500000123e-05 1.709994946899999873e-11 1.000000000000000038e-25 3.729801781899999885e-06 2.333683575000000021e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.280646083899999984e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 3.662787354299999884e-09
7.126427896022295054e-04 1.254844168773590809e+03 1.801375482499999845e-05 8.368261329899999712e-01 1.622511611099999862e-01 2.541671060300000140e-04 9.438048241899999809e-11 5.249374524299999911e-04 1.005968543899999992e-07 6.777723988800000018e-10 2.274718238299999981e-05 2.143713708400000133e-11 1.000000000000000038e-25 3.729796505599999793e-06 2.339047704800000073e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.359872348800000127e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.698906040700000207e-09
8.971641173621299880e-04 1.265816561098267812e+03 1.933481194399999838e-05 8.368249006900000397e-01 1.622510540600000106e-01 2.541357054399999860e-04 1.240013271200000044e-10 5.249397447899999472e-04 9.792255664399999701e-08 8.144986830400000512e-10 2.278172654499999912e-05 2.688075404499999941e-11 1.000000000000000038e-25 3.729790865200000212e-06 2.343976128400000072e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.444946910499999995e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 8.771133624200000132e-09
1.129462705897069227e-03 1.276952520071328308e+03 2.074442252999999847e-05 8.368235806299999524e-01 1.622509392800000061e-01 2.541079023000000141e-04 1.628565427200000040e-10 5.249419111899999860e-04 9.533853830699999375e-08 9.784283124600000075e-10 2.281567273200000055e-05 3.368810520600000020e-11 1.000000000000000038e-25 3.729784802399999861e-06 2.348618959000000005e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.533471282499999920e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.345648896099999937e-08
1.421909302127621162e-03 1.288312807094305754e+03 2.225933137799999975e-05 8.368221536800000138e-01 1.622508150399999960e-01 2.540853279899999914e-04 2.141647503099999989e-10 5.249439618600000058e-04 9.282537807800000215e-08 1.176260867800000021e-09 2.284915181899999952e-05 4.225686345099999847e-11 1.000000000000000038e-25 3.729778234899999913e-06 2.353024086800000048e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.625849092999999956e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 2.064858515900000076e-08
