# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 7.603032270399218078e+02 7.843828298599999417e-11 8.368739028099999588e-01 1.622566636299999920e-01 2.378733690200000135e-04 2.968495316399999969e-07 5.239199793599999674e-04 8.391435960099999685e-07 1.033282476100000015e-09 2.721512112900000127e-05 1.503821925900000020e-12 1.000000000000000038e-25 3.729763856999999924e-06 1.007349921900000044e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.363073879099999607e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.766189291400000017e-06 1.000000000000000038e-25
4.496472020903842217e-05 7.647021260368749154e+02 8.532492342199999389e-11 8.368737707600000242e-01 1.622566933000000045e-01 2.379752055500000056e-04 3.848976701600000013e-07 5.238594652799999666e-04 8.117051620500000175e-07 1.239484884800000022e-09 2.721512500099999837e-05 1.885952584200000040e-12 1.000000000000000038e-25 3.729750375399999808e-06 1.012586254000000033e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.363246324699999957e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.752008574800000058e-06 1.000000000000000038e-25
5.660722890537316039e-05 7.743171904898266575e+02 1.170325526900000057e-10 8.368736443500000011e-01 1.622566918999999996e-01 2.381026936199999965e-04 3.956705675299999905e-07 5.239049743599999680e-04 7.554181649800000017e-07 1.406149368100000083e-09 2.721511540799999968e-05 2.357516406899999960e-12 1.000000000000000038e-25 3.729747320799999930e-06 1.047622017499999993e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.362998276500000200e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.809171231800000078e-06 1.000000000000000038e-25
7.126427896022353330e-05 7.821481130858454662e+02 1.472038927899999982e-10 8.368735095899999532e-01 1.622567048599999895e-01 2.382244918400000034e-04 4.434001805500000170e-07 5.238993176599999546e-04 7.133866192600000207e-07 1.628426659099999928e-09 2.721511003799999905e-05 2.949770062099999909e-12 1.000000000000000038e-25 3.729740001199999932e-06 1.071335994200000027e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.362901448199999829e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.838972991500000008e-06 1.000000000000000038e-25
8.971641173621374690e-05 7.878752443396731451e+02 1.678957759699999955e-10 8.368733369599999916e-01 1.622567380999999920e-01 2.383591197999999976e-04 5.482008702499999527e-07 5.238231822699999582e-04 6.848281386000000173e-07 1.931281911100000084e-09 2.721511170399999895e-05 3.696484734399999619e-12 1.000000000000000038e-25 3.729727404599999957e-06 1.082772106300000028e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.362997401199999661e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.839125827399999962e-06 1.000000000000000038e-25
1.129462705897078389e-04 7.934521863411537197e+02 1.896710832499999995e-10 8.368731348100000300e-01 1.622567826999999907e-01 2.385190587700000133e-04 6.835930535499999919e-07 5.237141902600000228e-04 6.585713280500000374e-07 2.294565734200000121e-09 2.721511545099999994e-05 4.629464769900000037e-12 1.000000000000000038e-25 3.729713715899999969e-06 1.093016233300000035e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.363107072299999779e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.836396385399999896e-06 1.000000000000000038e-25
1.421909302127632546e-04 7.981256418954490073e+02 2.056969312299999897e-10 8.368728513700000038e-01 1.622568499700000055e-01 2.387306009999999969e-04 8.889903514300000056e-07 5.235298955199999601e-04 6.376852827799999505e-07 2.755457098300000141e-09 2.721512488200000080e-05 5.804860831699999825e-12 1.000000000000000038e-25 3.729696885499999819e-06 1.098065486100000017e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.363284738299999669e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.821092415599999953e-06 1.000000000000000038e-25
1.790077753714985496e-04 8.023517356672125516e+02 2.184485483200000103e-10 8.368724682100000534e-01 1.622569459600000097e-01 2.390170740499999969e-04 1.179082362199999976e-06 5.232580287599999935e-04 6.197691749000000003e-07 3.324018022099999956e-09 2.721514013599999875e-05 7.273355859100000162e-12 1.000000000000000038e-25 3.729677906300000174e-06 1.100330907600000064e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.363482334500000218e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.799216982500000000e-06 1.000000000000000038e-25
2.253574373239214108e-04 8.061676118748661111e+02 2.277739538700000109e-10 8.368719296100000093e-01 1.622570825000000105e-01 2.394180532500000079e-04 1.592557404899999897e-06 5.228604182700000071e-04 6.043446481000000180e-07 4.028912672299999682e-09 2.721516311400000142e-05 9.112489251300000413e-12 1.000000000000000038e-25 3.729656644699999789e-06 1.099992133099999995e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.363690064400000247e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.771145483000000000e-06 1.000000000000000038e-25
2.837082045838957515e-04 8.097062181398838447e+02 2.345249066499999825e-10 8.368711735999999624e-01 1.622572742499999998e-01 2.399811894300000114e-04 2.174740851600000202e-06 5.222924149199999894e-04 5.907827482700000264e-07 4.896229550699999958e-09 2.721519596699999852e-05 1.140239502999999936e-11 1.000000000000000038e-25 3.729633420999999836e-06 1.097669658900000020e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 5.363894050599999624e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.738495609799999977e-06 1.000000000000000038e-25
