# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 9.552661224688534958e+02 9.953089673899999573e-08 8.368373410599999618e-01 1.622515058700000068e-01 2.554510094000000020e-04 2.066972139100000111e-10 5.247593615400000539e-04 2.797141716999999894e-07 1.802085266199999992e-10 2.070590164899999892e-05 1.235136124999999910e-12 1.000000000000000038e-25 3.729804509699999891e-06 1.691513404999999948e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 4.755261744499999796e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.330414697199999904e-06 1.000000000000000038e-25
4.496472020903842217e-05 9.612856416239776536e+02 1.056255911199999990e-07 8.368373266499999907e-01 1.622515064800000018e-01 2.554098308399999962e-04 2.745451602700000195e-10 5.247669627800000082e-04 2.720467468000000193e-07 2.172536265899999994e-10 2.075224003999999968e-05 1.549520119200000100e-12 1.000000000000000038e-25 3.729801333999999817e-06 1.700146764000000001e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 4.804309583899999645e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.328038401000000011e-06 1.000000000000000038e-25
5.660722890537316039e-05 9.733544944363051172e+02 1.328502236700000074e-07 8.368372810399999917e-01 1.622515031300000021e-01 2.553360547900000070e-04 3.072813859000000255e-10 5.247814013099999769e-04 2.575642562999999769e-07 2.511975069800000244e-10 2.084278970499999913e-05 1.938131385100000011e-12 1.000000000000000038e-25 3.729799613600000056e-06 1.724578679500000082e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 4.779590454200000193e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.334274792000000030e-06 1.000000000000000038e-25
7.126427896022353330e-05 9.835040219501705678e+02 1.572257391900000125e-07 8.368372404699999656e-01 1.622515003499999942e-01 2.552735939799999853e-04 3.655752365400000044e-10 5.247926354099999519e-04 2.462623735300000178e-07 2.947668740400000233e-10 2.091699003199999922e-05 2.426323628200000078e-12 1.000000000000000038e-25 3.729797181499999841e-06 1.744046725100000003e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 4.780698627199999960e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.337823935000000153e-06 1.000000000000000038e-25
8.971641173621374690e-05 9.922853602051995949e+02 1.781519903999999897e-07 8.368372085099999858e-01 1.622514988500000088e-01 2.552193323400000265e-04 4.546072492699999747e-10 5.248016988399999529e-04 2.371044341300000123e-07 3.496902141100000196e-10 2.097965388199999858e-05 3.040603685299999966e-12 1.000000000000000038e-25 3.729794144199999930e-06 1.759604502600000056e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 4.800603514399999744e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.339331258300000054e-06 1.000000000000000038e-25
1.129462705897078389e-04 1.000816448421323457e+03 1.998516537899999892e-07 8.368371769500000390e-01 1.622514974400000032e-01 2.551669622899999925e-04 5.705896197300000323e-10 5.248100019300000084e-04 2.286800055800000123e-07 4.156629796600000015e-10 2.103942055999999888e-05 3.808968745100000318e-12 1.000000000000000038e-25 3.729790804999999845e-06 1.774364309600000105e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 4.823837346199999549e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.340474664399999906e-06 1.000000000000000038e-25
1.421909302127632546e-04 1.008512274384953571e+03 2.183036425299999953e-07 8.368371468899999943e-01 1.622514959399999901e-01 2.551195648099999799e-04 7.367052205000000114e-10 5.248170279000000321e-04 2.214820956899999985e-07 4.977440063900000238e-10 2.109228729200000139e-05 4.778278753800000079e-12 1.000000000000000038e-25 3.729786874400000177e-06 1.786473390600000126e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 4.857015689100000383e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.340199403100000144e-06 1.000000000000000038e-25
1.790077753714985496e-04 1.016082305222288596e+03 2.370658222899999965e-07 8.368371209399999566e-01 1.622514951900000113e-01 2.550733158600000227e-04 9.559881363900000805e-10 5.248235535200000169e-04 2.147335436999999975e-07 5.965815522899999978e-10 2.114341031699999907e-05 5.991384198600000311e-12 1.000000000000000038e-25 3.729782609300000195e-06 1.798014457399999940e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 4.890335725100000391e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.339642318199999888e-06 1.000000000000000038e-25
2.253574373239214108e-04 1.023470328400525773e+03 2.554788816100000143e-07 8.368370956999999777e-01 1.622514944800000081e-01 2.550284615300000071e-04 1.250789938999999976e-09 5.248295396600000497e-04 2.084487742199999899e-07 7.166001950100000210e-10 2.119247473000000041e-05 7.516000960000000113e-12 1.000000000000000038e-25 3.729777906699999845e-06 1.808766663999999985e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 4.924424904999999628e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.338637316599999965e-06 1.000000000000000038e-25
2.837082045838957515e-04 1.030980491358144718e+03 2.754751688299999856e-07 8.368370692300000080e-01 1.622514936399999941e-01 2.549835326899999879e-04 1.634458224600000077e-09 5.248352487599999838e-04 2.023513687400000059e-07 8.602850682400000496e-10 2.124146571900000137e-05 9.424091018000000495e-12 1.000000000000000038e-25 3.729772867499999945e-06 1.819604164200000128e-07 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 1.000000000000000038e-25 4.955994712500000316e-07 1.000000000000000038e-25 1.000000000000000038e-25 3.337684732500000081e-06 1.000000000000000038e-25
