# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 3.269877438632885514e+03 9.107107609900000345e-01 2.584403773700000208e-04 8.830817365899999716e-02 8.001939265500000499e-11 1.000000000000000038e-25 2.829073038500000046e-04 1.107297676399999923e-11 1.000000000000000038e-25 1.991915345800000057e-14 3.920040462199999798e-12 1.000000000000000038e-25 4.524735113100000031e-10 1.750940264400000101e-12 2.161349183799999845e-11 1.272727534799999997e-13 7.810901984099999406e-12 1.524408596499999925e-05 8.848525863600000465e-12 1.000000000000000038e-25 1.675292902500000072e-05 1.000000000000000038e-25 2.125025372900000152e-06 3.623800591899999844e-05
4.496472020903842217e-05 3.247487475589938185e+03 9.106000473499999970e-01 3.654399511100000120e-04 8.831818807400000637e-02 1.611197201599999965e-10 1.000000000000000038e-25 2.840595990900000195e-04 1.590986858699999874e-11 1.000000000000000038e-25 3.833382897199999839e-14 4.529831338800000221e-12 1.000000000000000038e-25 5.664700385800000130e-10 2.149125281700000040e-12 3.225175818300000262e-11 1.872344448699999911e-13 1.160096939099999993e-11 1.314691471699999935e-05 9.951817088299999402e-12 1.000000000000000038e-25 1.885347801299999890e-05 1.000000000000000038e-25 2.125266356700000033e-06 3.624211247800000041e-05
5.660722890537316039e-05 3.212691343781379146e+03 9.104020997999999754e-01 5.532684729399999770e-04 8.833541866600000403e-02 3.748173964200000000e-10 1.000000000000000038e-25 2.849552412400000205e-04 2.471726124900000039e-11 1.000000000000000038e-25 8.271042089400000453e-14 5.025499390100000314e-12 1.000000000000000038e-25 7.318235842799999785e-10 2.690798333800000173e-12 5.336563844700000323e-11 3.029485451099999912e-13 1.774143093299999933e-11 1.076233846800000048e-05 1.084759548800000015e-11 1.000000000000000038e-25 2.124401636899999894e-05 1.000000000000000038e-25 2.125680988299999903e-06 3.624917898000000141e-05
7.126427896022353330e-05 3.192682665080041261e+03 9.101643075399999949e-01 7.755839998599999615e-04 8.835547379699999759e-02 7.429888130300000227e-10 1.000000000000000038e-25 2.853627327299999893e-04 3.516450184999999729e-11 1.000000000000000038e-25 1.569402828399999915e-13 5.594857799599999805e-12 1.000000000000000038e-25 8.998012661700000183e-10 3.248431778199999835e-12 7.879806931499999841e-11 4.415869576900000244e-13 2.504370139899999923e-11 9.210739390899999314e-06 1.207184317100000033e-11 1.000000000000000038e-25 2.280265964599999975e-05 1.000000000000000038e-25 2.126163588499999863e-06 3.625740369200000315e-05
8.971641173621374690e-05 3.175411887065079554e+03 9.098449976400000416e-01 1.072161721600000100e-03 8.838202598800000420e-02 1.430367045900000075e-09 1.000000000000000038e-25 2.856486818399999882e-04 4.921929772699999994e-11 1.000000000000000038e-25 2.910034970500000158e-13 6.198690033999999845e-12 1.000000000000000038e-25 1.096360322399999929e-09 3.895590654999999776e-12 1.139387005299999981e-10 6.314896406700000215e-13 3.458388621399999895e-11 7.944612371399999674e-06 1.348296287400000021e-11 1.000000000000000038e-25 2.407817033600000010e-05 1.000000000000000038e-25 2.126802531699999974e-06 3.626829310700000104e-05
1.129462705897078389e-04 3.158741812597444550e+03 9.094065573599999786e-01 1.477847459799999956e-03 8.841818559099999530e-02 2.736052656699999898e-09 1.000000000000000038e-25 2.858918352500000007e-04 6.863465007499999658e-11 1.000000000000000038e-25 5.370214991799999910e-13 6.822684079500000357e-12 1.000000000000000038e-25 1.334792196000000000e-09 4.669727644799999753e-12 1.640205321099999929e-10 8.994591778900000443e-13 4.720193191699999914e-11 6.868106271400000220e-06 1.507246054999999969e-11 1.000000000000000038e-25 2.516750421100000015e-05 1.000000000000000038e-25 2.127672663999999916e-06 3.628312311299999686e-05
1.421909302127632546e-04 3.144381008888826727e+03 9.088258144199999888e-01 2.013897793600000121e-03 8.846582789000000113e-02 5.106133901700000117e-09 1.000000000000000038e-25 2.861226997999999941e-04 9.439842439200000033e-11 1.000000000000000038e-25 9.729034191800000055e-13 7.517079205800000681e-12 1.000000000000000038e-25 1.619124696200000030e-09 5.588747568800000403e-12 2.318707626900000073e-10 1.260218131799999970e-12 6.354616628500000039e-11 5.997244551100000159e-06 1.696952776400000057e-11 1.000000000000000038e-25 2.605531025000000077e-05 1.000000000000000038e-25 2.128819111299999831e-06 3.630266279400000092e-05
1.790077753714985496e-04 3.129981236882113990e+03 9.080335834499999592e-01 2.744118587399999986e-03 8.853061785700000463e-02 9.518828029699999801e-09 1.000000000000000038e-25 2.863829665999999751e-04 1.297239178700000030e-10 1.000000000000000038e-25 1.762776815099999983e-12 8.249987197199999754e-12 1.000000000000000038e-25 1.972511149799999929e-09 6.716689777599999918e-12 3.275379265599999747e-10 1.765563233399999981e-12 8.502300245400000039e-11 5.255759853200000245e-06 1.916343192000000133e-11 1.000000000000000038e-25 2.681988045000000136e-05 1.000000000000000038e-25 2.130378192799999803e-06 3.632923604300000318e-05
2.253574373239214108e-04 3.116260971750150020e+03 9.069668635400000012e-01 3.726400421200000163e-03 8.861767303400000517e-02 1.759858555299999916e-08 1.000000000000000038e-25 2.866974561600000009e-04 1.774128220499999904e-10 1.000000000000000038e-25 3.178100905099999912e-12 9.053068544499999656e-12 1.000000000000000038e-25 2.413112720200000146e-09 8.110828314399999454e-12 4.597625750900000076e-10 2.458514420900000051e-12 1.130375359400000059e-10 4.640625329199999686e-06 2.178316515900000092e-11 1.000000000000000038e-25 2.746607517200000048e-05 1.000000000000000038e-25 2.132473053700000197e-06 3.636494201600000138e-05
2.837082045838957515e-04 3.103399396862927006e+03 9.055474846700000136e-01 5.032568729800000230e-03 8.873334245399999709e-02 3.212954144200000286e-08 1.000000000000000038e-25 2.870929957400000245e-04 2.409432788000000159e-10 1.000000000000000038e-25 5.681024099299999926e-12 9.944973498800000223e-12 1.000000000000000038e-25 2.965066093800000043e-09 9.844901947399999376e-12 6.395598126900000306e-10 3.396246876999999943e-12 1.492691530299999935e-10 4.137754658699999952e-06 2.495046676500000089e-11 1.000000000000000038e-25 2.801025417699999856e-05 1.000000000000000038e-25 2.135256472300000208e-06 3.641238507600000020e-05
