# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 3.067246454123941021e+03 9.101543019800000245e-01 7.902636688500000494e-04 8.835734944900000554e-02 8.275472430300000243e-10 1.000000000000000038e-25 2.857164867900000059e-04 3.969924738499999827e-11 1.000000000000000038e-25 1.289456849099999917e-13 2.767611920500000202e-12 1.000000000000000038e-25 8.609524545699999674e-10 2.755550351100000073e-12 1.143011607700000010e-10 5.882363825000000177e-13 1.807975758999999984e-11 7.407556071399999895e-06 6.018451967899999818e-12 1.000000000000000038e-25 2.460651079300000030e-05 1.000000000000000038e-25 2.126208723900000093e-06 3.625818142399999994e-05
4.496472020903842217e-05 3.042649687658366020e+03 9.097676105499999943e-01 1.148937465200000098e-03 8.838940970200000191e-02 1.768706889699999983e-09 1.000000000000000038e-25 2.859088926799999890e-04 5.877892828699999846e-11 1.000000000000000038e-25 2.601343154099999770e-13 2.955538276099999924e-12 1.000000000000000038e-25 1.080864648199999940e-09 3.375732297100000002e-12 1.779534002700000123e-10 9.007267143400000229e-13 2.533179163500000046e-11 6.192434182699999786e-06 6.607923279800000102e-12 1.000000000000000038e-25 2.583300911900000040e-05 1.000000000000000038e-25 2.126980211500000190e-06 3.627133322800000186e-05
5.660722890537316039e-05 3.002061112749509448e+03 9.090133608799999543e-01 1.846348204799999919e-03 8.845151885099999944e-02 4.646390647499999957e-09 1.000000000000000038e-25 2.861736668799999789e-04 9.724418750399999546e-11 1.000000000000000038e-25 6.209674479399999550e-13 2.986949524700000049e-12 1.000000000000000038e-25 1.451067325000000010e-09 4.347929917899999812e-12 3.204533127899999957e-10 1.577812219099999976e-12 3.701435880500000219e-11 4.896531476300000309e-06 7.067453028600000159e-12 1.000000000000000038e-25 2.715102158400000012e-05 1.000000000000000038e-25 2.128474785200000090e-06 3.629681365000000221e-05
7.126427896022353330e-05 2.979031306486013818e+03 9.081141452100000011e-01 2.675681334900000159e-03 8.852515409099999399e-02 9.813851518400000803e-09 1.000000000000000038e-25 2.864340152099999963e-04 1.427822877799999936e-10 1.000000000000000038e-25 1.247512777199999919e-12 3.163258679699999887e-12 1.000000000000000038e-25 1.857171716400000082e-09 5.432779244200000357e-12 4.937443078499999706e-10 2.396054561399999916e-12 5.067439094000000139e-11 4.183411016400000069e-06 7.918451504599999558e-12 1.000000000000000038e-25 2.789039474399999854e-05 1.000000000000000038e-25 2.130246717500000064e-06 3.632702262000000250e-05
8.971641173621374690e-05 2.962528861112309642e+03 9.069750596100000228e-01 3.724951944599999999e-03 8.861818124900000537e-02 1.903442946299999928e-08 1.000000000000000038e-25 2.867459382399999948e-04 2.000783344100000096e-10 1.000000000000000038e-25 2.345077248000000031e-12 3.416642778000000164e-12 1.000000000000000038e-25 2.345498295700000116e-09 6.744165229700000254e-12 7.155162934499999797e-10 3.438401744199999953e-12 6.767754001000000051e-11 3.700371070799999806e-06 9.077167877200000101e-12 1.000000000000000038e-25 2.840662839599999846e-05 1.000000000000000038e-25 2.132485287900000044e-06 3.636518726599999719e-05
1.129462705897078389e-04 2.946525099137741108e+03 9.054066267500000542e-01 5.168633601100000238e-03 8.874606215100000473e-02 3.661321196599999801e-08 1.000000000000000038e-25 2.871664863899999940e-04 2.790559582400000150e-10 1.000000000000000038e-25 4.387533987999999848e-12 3.693923764400000169e-12 1.000000000000000038e-25 2.996281684999999872e-09 8.471589298700000701e-12 1.030267598899999981e-09 4.908916601499999655e-12 8.991959770799999505e-11 3.318911883799999867e-06 1.053398004300000016e-11 1.000000000000000038e-25 2.883374079399999844e-05 1.000000000000000038e-25 2.135562561800000138e-06 3.641765153999999859e-05
1.421909302127632546e-04 2.934831921119097387e+03 9.034314067199999965e-01 6.985545789899999698e-03 8.890687747000000640e-02 6.667566659600000326e-08 1.000000000000000038e-25 2.876906194499999803e-04 3.779913426599999830e-10 1.000000000000000038e-25 7.865244459500000366e-12 4.050691277799999819e-12 1.000000000000000038e-25 3.803374380500000012e-09 1.062207684499999987e-11 1.426103039399999956e-09 6.764536990999999939e-12 1.178198692899999927e-10 3.050297716000000017e-06 1.243583218399999969e-11 1.000000000000000038e-25 2.915977780199999878e-05 1.000000000000000038e-25 2.139432349900000179e-06 3.648362745600000216e-05
1.790077753714985496e-04 2.925486112500743729e+03 9.009290303700000502e-01 9.286267483499999545e-03 8.911040041899999375e-02 1.174183988399999938e-07 1.000000000000000038e-25 2.883514816700000053e-04 5.032784478000000081e-10 1.000000000000000038e-25 1.372873530900000056e-11 4.474630370300000253e-12 1.000000000000000038e-25 4.823458764699999777e-09 1.334095205999999927e-11 1.927960248300000022e-09 9.130909146099999951e-12 1.529661836499999888e-10 2.852149764299999876e-06 1.485420995400000103e-11 1.000000000000000038e-25 2.943060028299999850e-05 1.000000000000000038e-25 2.144329825099999901e-06 3.656712466099999883e-05
2.253574373239214108e-04 2.917949396727736257e+03 8.977682883199999964e-01 1.219126029400000033e-02 8.936727045400000291e-02 2.017593516999999949e-07 1.000000000000000038e-25 2.891841146200000161e-04 6.621058595199999794e-10 1.325765948600000056e-14 2.350496528800000025e-11 4.972676759099999624e-12 1.000000000000000038e-25 6.122778947300000074e-09 1.680568270100000025e-11 2.561186083499999938e-09 1.214533632200000002e-11 1.973771231099999976e-10 2.704242738099999975e-06 1.792456323100000098e-11 1.000000000000000038e-25 2.967021944599999888e-05 1.000000000000000038e-25 2.150511001900000018e-06 3.667250798800000312e-05
2.837082045838957515e-04 2.911764903756216881e+03 8.938040453000000163e-01 1.583378238100000002e-02 8.968925955400000594e-02 3.396935908100000242e-07 1.000000000000000038e-25 2.902269263900000124e-04 8.630111335500000428e-10 2.493599393599999955e-14 3.959156949499999734e-11 5.548922004699999943e-12 1.000000000000000038e-25 7.782358074800000346e-09 2.123208773299999950e-11 3.354664846499999860e-09 1.597301382100000154e-11 2.533232689299999997e-10 2.593685557899999886e-06 2.179609086099999840e-11 1.000000000000000038e-25 2.989570751999999924e-05 1.000000000000000038e-25 2.158259141099999928e-06 3.680460686700000040e-05
