55.2	0.83
47.6	1.265
18.4	1.1
11	1
10.7	1
19	1
9.1	1
31	1
12.7	1
10.6	1
12.3	1
19.1	1
5.2	0.915
10.8	1
10.4	1
23	1
21	1
18.1	0.97
13	1.23
7.4	0.78
6.9	1
11	1
13	1
16	1
37.2	1
27.6	1
9.2	1.07
9.4	1.07
11	1
11.5	1
18	1
34	0.91
2	0.85
2	1.04
24.5	1.53
11.7	1.07
15.6	1
11	1
11	1
6.1	1.22
352	1
36.4	1
13.9	1
5.9	1
24.8	1
6.5	1
12.6	1
15.1	1
10	1
10.7	1
14.5	1
6.8	1
6	1
11.6	1
4.4	1
7.3	1
7.2	1
6.2	1
16.8	1
11.9	1
10.1	1
12.1	1
