#Teq	K_J	K_B
503.1324675464296 0.0010095023657765417 0.1729195114401641
602.4149618809377 0.0012816143765650673 0.1551781080049767
701.7589189695682 0.0015761530944291247 0.13850312071312906
801.4606514433997 0.002205450591659222 0.13690037368783214
900.9780299518188 0.0030932942223079306 0.1305216026721316
1000.2364799258277 0.016387958783279817 0.08977569497049763
1100.0537627409904 0.020507132074505698 0.05506097489379394
1199.8517843730156 0.017017061369739767 0.03920859138292171
1299.726701770228 0.017475068552024412 0.030572530658286304
1399.5255410203265 0.01835138285507017 0.02573141233200524
1499.1976053990911 0.019891017649311744 0.022333774747907858
1598.749335046981 0.033968772499350396 0.02056599440026514
1648.5100701140334 0.04391004111097334 0.02114969793466379
1698.232101727278 0.04943614487392761 0.022347802927580478
1748.131808322926 0.06696567204692312 0.026105056281036983
1798.3009367622094 0.09179485806247663 0.03187194456324885
1848.5552246216976 0.11966170710612138 0.037550986990760704
1898.5897382961205 0.2603972800914975 0.044327852732321094
1999.1643479420688 0.31874778584396724 0.07172942655767069
2099.583439201367 0.5085428316243762 0.11805237034091658
2200.9205943376965 0.7656938448751228 0.17012797639293176
2301.547855989246 1.1055658484413304 0.23682588806864255
2401.814883363645 1.13224787034948 0.31670492636421727
2502.01486351363 1.1741985979867875 0.4278062527351577
2602.1238459901733 1.2557589320921885 0.5932950597507245
2702.11381895782 1.4300635357777194 0.8647468665155268
2801.2553349663954 1.7614230605083816 1.307123693446948
2901.2754379362723 2.254555559532263 1.9339429233753256
3000.825613782031 2.8313286810611182 2.6801920341123315
3199.305390956966 4.2283659186629805 4.333911480253156
3397.8121776438034 5.979290515628801 6.257631832225
3597.172828404049 8.122340686207139 8.575670558036315
